basin;Acrisol;Albeluvisol;Alisol;Andosol;Arenosol;Calcisol;Cambisol;Chernozem;Ferralsol;Fluvisol;Gleysol;Histosol;Kastanozem;Leptosol;Lixisol;Luvisol;Nitisol;Phaeozem;Planosol;Plinthosol;Podzol;Regosol;Solonchak;Solonetz;Stagnosol;Umbrisol;Vertisol
Orthon;59.92891481;;;;3.580954485;;0.010561765;;31.10711377;0.031512149;4.110368277;0.012482585;;;;0.67910184;0.497349821;;0.006252643;0.035074161;;;;;;;
Pachitea;57.84676149;;;;;;9.431990723;;6.983522508;;2.153022982;0.651791207;0.295010521;8.148058454;;1.730475712;0.032021267;;0.011647664;;0.005828672;2.261955322;;;;10.44675201;
Paru_Este;76.16369558;;0.006512247;2.094555795;0.000172665;;;;17.96617966;0.050025764;1.384866302;;0.869199204;;;;0.958530315;;;;0.466624527;;;;;;
Pastaza;37.12737837;;;23.31135365;0.042457255;0.032346499;0.336540328;0.010107764;12.88575466;0.01413649;18.84777456;;0.266802911;0.034370733;;;;3.127110185;0.002022005;;0.078095179;0.181952079;;;;3.536475638;
Purus1;58.07081252;;;0.00830517;0.012050212;;0.011052984;;0.122154369;4.575997457;32.08457854;;;;;0.012461065;;;0.532743023;3.829692944;;;;;;;
Purus2;50.33833401;;;;0.00905032;;0.029362213;;0.062959281;2.065005663;43.40574843;;;;;0.003258676;0.009882457;;0.10358438;3.969447334;;;;;;;
Purus3;80.58854142;;;0.124113518;0.99978424;;0.005859279;;7.893118291;0.566822996;8.165225619;;0.003722437;;;0.151345587;0.450261361;;0.052076917;0.993315647;0.005573412;;;;;;
Putumayo;74.00850523;;0.448424984;0.868803679;;;0.332988395;0.010632549;6.275845046;0.150231943;15.25970632;0.009214496;0.010631765;0.399969814;;0.011835237;;;0.008495971;0.330302502;0.019291002;0.001083026;;;;1.708364896;
Roosevelt;59.97042192;;;0.101258843;5.229144484;;;;8.020080723;;;;;0.003951528;;;26.6376546;;;0.037426793;;;;;;;
Santiago;13.13249304;;;19.10036783;;;24.29603497;0.020718576;21.16730306;;0.183866403;0.007764182;2.493656867;0.139859036;0.002591401;4.304441938;0.033654517;0.121766208;0.390345682;;0.012953847;1.49130415;;;0.00259128;12.83697278;0.14509401
Solimoes1;58.84856226;;;;0.085334985;;;;9.662249679;0.950699009;23.48560812;;;;;0.011618489;0.011621334;;0.555183115;1.057696039;0.143268453;;;;;;
Solimoes2;76.7705614;;;;0.082938964;;;;0.068602287;0.595489579;18.24001803;;;;;;;;0.262100232;0.139457078;0.054489416;;;;;;
Solimoes3;71.5338899;;;;0.004887331;;;;0.136807832;0.488679972;24.54044506;;;;;;;;0.239489669;0.431608613;0.019542512;;;;;;
Solimoes4;60.72584251;;;;0.012832244;;;;0.302070589;1.693444429;31.97057955;;;;;;;;;0.694161678;0.450495973;;;;;;
Solimoes7;65.24893475;;;0.090719459;0.023411596;;0.077332454;;0.462956082;0.762151617;31.17374104;;;;;0.002925463;0.002920801;;0.21654119;0.133985404;0.178572061;;;;;;
Solimoes8;74.07256524;;;0.002599165;0.005202397;;0.110245625;;0.77549891;0.603614209;23.07676253;;;;;0.00250316;;;0.005210434;0.014954326;;;;;;;
Solimoes9;84.19420767;;5.69611598;;0.006153514;;0.028347239;;0.436608053;0.180014214;8.828655468;;;;;;;;;0.015388285;;;;;;;
Tapajos1;46.22825182;;;;0.289276917;;0.0020048;;44.15382236;0.370401677;0.146684393;;;;;0.006939676;2.169306132;;;0.429675426;;;;;;;
