BvNiv2;WaterColor;Area_km;Chut_hydrofall;Chut_grand;NetworkDensity;Elevation_min;Elevation_max;Elevation_range;Elevation_mean;Elevation_std;Elevation_%basinSup1000m;NbEspeceSites;NbEspeceEnveloppe;NbSitesTotal;Endemism;DistanceEmbouchure_km;23ma_cd;23Ma;10Ma_cd;10Ma
Candeias;White;29264.64372;3;1;0.13981971;50;1084;1034;168.0738833;81.81055342;0.05066445;400;870;46;1;2513.057456;F;PebasSudEst3;G2;GroupAtlantik
Canuma;Black;73960.56018;1;0;0.187806305;8;340;332;105.8241771;58.70142682;0;169;944;34;0;1498.241944;B;GroupAtlantik;F2;GroupeAtlantik3
Caqueta1;White;149918.2613;7;0;0.144758372;63;4022;3959;350.628023;509.5267791;0;439;758;162;13;3068.494022;G;PebasSystem;D2;AtlantikNord3
Chapare;White;20138.78056;0;0;0.214970733;172;4010;3838;586.8542225;684.1736234;0;240;282;108;2;4042.025467;A;PebasSudEst;I2;Izogog?
Coari;Black;35587.04417;0;0;0.174085512;19;107;88;75.21843812;16.5287626;0;310;933;35;0;2054.789938;F;PebasSudEst3;B2;AcreSystem
Curaray;White;26585.53658;0;0;0.170058184;122;1100;978;253.7674426;97.06736428;0.083827683;80;532;36;1;4117.1398;G;PebasSystem;J2;AtlantikNord4
Curua;Clear;25290.21118;0;0;0.132092162;-2;604;606;308.8475585;145.0500547;0.003611339;43;543;16;0;695.9767388;H;AffluentsNord;K2;AffluentsNord
Curua_Una;White;31115.22453;0;1;0.121220888;1;456;455;170.7740325;72.67642641;0.000795929;67;655;45;0;505.1032443;B;GroupAtlantik;C2;GroupAtlantik4
Demini;Black;39591.81425;4;0;0.134150267;22;2039;2017;154.9701863;209.9802397;1.737486068;31;676;15;0;2196.111868;E;PebasNordEst;H2;AtlantikNord1
Fresco;Clear;43784.42027;0;0;0.066572164;184;754;570;346.7573987;99.87266829;0;100;139;39;3;1115.108707;I;GroupAtlantik2;L2;GroupAtlantik2
Grande;White;109318.0313;0;1;0.156753769;155;4987;4832;1591.230166;1287.289625;0;160;342;157;1;3919.437939;A;PebasSudEst;I2;Izogog?
Guapore;Clear;151316.02;0;0;0.123053022;126;997;871;266.0516064;130.4198986;0.002773205;607;761;314;10;3239.432438;A;PebasSudEst;A2;AcreSud
Huallaga;White;89691.1798;0;0;0.137184623;111;5171;5060;1430.440257;1192.370314;51.941814;178;385;61;13;4352.070946;J;PebasOuest3;M2;AcreNordOuest
Iriri;Clear;141745.6351;9;0;0.078700012;48;692;644;280.4537747;72.3536829;0;228;592;61;4;690.100019;B;GroupAtlantik;C2;GroupAtlantik4
Isiboro;White;21045.35276;0;1;0.157896812;157;4519;4362;848.2880371;1066.191923;26.15000168;189;331;114;1;3919.437939;A;PebasSudEst;I2;Izogog?
Itonamas;White;125073.3126;0;0;0.086716761;130;3303;3173;369.6879216;298.6456244;5.037275332;287;596;112;5;3378.699291;A;PebasSudEst;I2;Izogog?
Jamanxim;Clear;58518.9895;0;0;0.130756957;29;732;703;259.0827881;78.91112716;0;125;693;41;0;1084.561848;B;GroupAtlantik;C2;GroupAtlantik4
Japura1;White;62544.45133;0;0;0.119813401;24;186;162;89.70405321;34.50656017;0;239;1003;105;3;2264.121827;G;PebasSystem;N2;AtlantikNord2
