DistEuclid_km;Abuna;Amazon1;Amazon2;Amazon5;Amazon8;Amazon9;Andira1;Apaporis;Apurimac1;Arinos;Aripuana;Bacaja;Beni;Blanco_Baures;Branco;Candeias;Canuma;Caqueta1;Chapare;Coari;Curaray;Curua;Curua_Una;Demini;Fresco;Grande;Guapore;Huallaga;Iriri;Isiboro;Itonamas;Jamanxim;Japura1;Jari;Jatapu;Javary1;Jiparana;Jurua1;Juruena1;Jutai;Luna;Madera1;Madera2;Madera3;Madera4;Madera6;Madre_Dios;Mamore1;Mamore2;Mantaro;Maranon1;Maranon3;Maranon5;Marmelos;Maues;Napo1;Napo2;Negro1;Negro2;Negro3;Negro5;Nhamunda;Orthon;Pachitea;Paru_Este;Pastaza;Purus1;Purus2;Purus3;Putumayo;Roosevelt;Santiago;Solimoes1;Solimoes2;Solimoes3;Solimoes4;Solimoes7;Solimoes8;Solimoes9;Tapajos1;Tapajos2;Tapaua;Tefe;Teles_Pires;Tigre;Trombetas1;Uatuma1;Uaupes;Ucayali1;Ucayali2;Unini;Urubamba;Xingu1;Xingu3;Xingu4;Xingu6;Yacuma
Jatapu;1119.9776;837.7382257;722.3939308;354.145138;76.27160717;116.9478014;172.2244847;1273.747494;2021.635155;870.9170219;380.3812886;742.8742654;1268.45804;1277.683571;427.9146153;877.87115;170.068308;1273.747494;1608.647178;566.6684134;1787.173354;386.7028614;463.7297033;568.2806186;832.7814115;1562.647342;1271.764738;1960.933132;653.3586062;1562.647342;1279.530149;322.729396;710.9095047;722.3939308;;1310.128464;802.6873852;847.2193073;539.0984461;955.6615624;116.9478014;116.9478014;380.3812886;561.9052356;802.6873852;1119.9776;1169.585579;1169.585579;1271.764738;2021.635155;1716.939901;1960.933132;2183.049675;561.9052356;113.2697689;1631.44961;1787.173354;205.2714381;369.7486628;568.2806186;1068.195234;276.9301977;1249.404599;1926.593794;653.144395;2049.686841;386.4763222;790.8209402;904.9238539;1094.278298;624.3822638;2183.049675;205.2714381;386.4763222;566.6684134;710.9095047;1094.278298;1310.128464;1631.44961;401.7949793;322.729396;790.8209402;731.9264442;539.0984461;1787.856633;299.4998028;76.27160717;1068.195234;1716.939901;1926.593794;380.6889937;1924.825309;737.2953842;653.3586062;832.7814115;1074.977842;1446.424833
Javary1;748.9740867;2147.780686;2031.60155;1662.428936;1386.062431;1234.195521;1476.578153;328.3119824;971.7777792;1409.95652;1044.877778;2018.842599;825.2412916;1063.778807;951.6413793;821.0663638;1226.896088;328.3119824;1349.08153;751.9237276;532.1543646;1695.915551;1767.672729;867.7053045;1977.63456;1279.284438;969.5866582;650.8948447;1919.996162;1279.284438;1054.065918;1484.22542;600.047281;2031.60155;1310.128464;;857.0105708;492.6952415;1323.088342;389.926489;1234.195521;1234.195521;1044.877778;906.0572831;857.0105708;748.9740867;811.4962978;811.4962978;969.5866582;971.7777792;408.3797693;650.8948447;874.8500148;906.0572831;1347.897097;343.969653;532.1543646;1108.580725;980.499241;867.7053045;571.2338917;1586.250623;813.0922853;710.1314377;1962.420009;739.6155838;930.3706364;608.9853701;631.0595643;249.6074208;1061.08025;874.8500148;1108.580725;930.3706364;751.9237276;600.047281;249.6074208;0;343.969653;1705.444763;1484.22542;608.9853701;580.1963585;1323.088342;478.9173184;1609.622701;1386.062431;571.2338917;408.3797693;710.1314377;978.8464118;816.6364807;2046.117638;1919.996162;1977.63456;1928.361274;1119.962658
Jiparana;326.127189;1549.669988;1419.464768;1079.364934;858.400408;687.1315137;912.0679055;1030.031211;1268.7945;553.100414;422.3076471;1331.039559;467.1949648;501.8241222;747.1145824;77.81315565;643.1447816;1030.031211;855.6882268;439.1389412;1387.723846;1114.26533;1155.581905;805.6854979;1197.337652;798.8907068;476.4232406;1428.985751;1230.495889;798.8907068;500.812042;797.833639;539.7617898;1419.464768;802.6873852;857.0105708;;679.3986175;523.1904259;724.3727679;687.1315137;687.1315137;422.3076471;247.0216976;0;326.127189;368.0067472;368.0067472;476.4232406;1268.7945;1226.053381;1428.985751;1666.749802;247.0216976;767.0972503;1194.681043;1387.723846;631.742958;711.108807;805.6854979;1024.891699;1042.697805;448.6951104;1261.329405;1355.914049;1520.847872;508.2466493;295.776959;227.357646;779.3078457;246.664147;1666.749802;631.742958;508.2466493;439.1389412;539.7617898;779.3078457;857.0105708;1194.681043;1100.257065;797.833639;295.776959;555.9963245;523.1904259;1289.224612;1052.535694;858.400408;1024.891699;1226.053381;1261.329405;725.1304106;1201.271237;1429.959961;1230.495889;1197.337652;1075.719973;662.233888
Jurua1;778.8619868;1678.239704;1567.763494;1201.108894;923.3499559;789.131153;1018.485476;437.3138286;1385.854551;1181.332975;660.8601708;1580.522757;920.0421477;1092.570014;461.3290113;690.8215916;795.1038594;437.3138286;1439.164404;345.063417;939.9833763;1233.030193;1310.815377;376.9247339;1591.552899;1372.155404;1022.923086;1134.293391;1485.346928;1372.155404;1086.566135;1069.516673;168.4664881;1567.763494;847.2193073;492.6952415;679.3986175;;994.0068213;109.2770723;789.131153;789.131153;660.8601708;588.8108869;679.3986175;778.8619868;854.6455495;854.6455495;1022.923086;1385.854551;885.1338005;1134.293391;1346.757296;588.8108869;903.2051134;789.3443975;939.9833763;656.887116;496.1055628;376.9247339;345.9206119;1117.929964;900.9503688;1183.694149;1498.602143;1219.590701;494.9516993;388.5574373;527.6641127;252.78529;785.471887;1346.757296;656.887116;494.9516993;345.063417;168.4664881;252.78529;492.6952415;789.3443975;1248.736685;1069.516673;388.5574373;144.7587155;994.0068213;955.8825816;1143.634107;923.3499559;345.9206119;885.1338005;1183.694149;492.3537537;1249.512915;1583.060805;1485.346928;1591.552899;1640.454883;1211.759941
Juruena1;828.9982298;1082.919848;951.5737561;664.688679;550.8986213;444.265206;550.4156385;1417.75328;1777.923279;332.5623862;348.4742283;827.7326591;941.9599654;861.6498777;780.6798475;594.0912901;386.9118103;1417.75328;1146.665622;650.7390822;1852.038536;695.3848842;708.4384077;906.0140028;674.8677647;1112.991933;889.4140734;1933.37099;729.9133643;1112.991933;867.0507873;343.7142432;825.5439298;951.5737561;539.0984461;1323.088342;523.1904259;994.0068213;;1079.592926;444.265206;444.265206;348.4742283;420.8882615;523.1904259;828.9982298;848.2374355;848.2374355;889.4140734;1777.923279;1716.349078;1933.37099;2169.938835;420.8882615;441.8688092;1667.056721;1852.038536;505.2079816;716.8915355;906.0140028;1313.760069;667.8371441;927.2972967;1784.39087;895.2950645;2025.525846;548.8015729;714.1029869;730.8794076;1181.652487;277.9240729;2169.938835;505.2079816;548.8015729;650.7390822;825.5439298;1181.652487;1323.088342;1667.056721;664.958152;343.7142432;714.1029869;849.2919512;0;1782.942593;664.1602282;550.8986213;1313.760069;1716.349078;1784.39087;734.4113863;1720.280332;959.1978706;729.9133643;674.8677647;649.9118498;1029.040818
Jutai;777.9803827;1787.423782;1676.657938;1309.688432;1031.850109;895.2839124;1126.639985;339.626207;1309.985219;1247.329405;754.7365378;1687.008004;909.0456191;1100.18131;569.397729;724.5703853;899.2143975;339.626207;1437.983083;438.5234268;831.5940237;1341.746705;1419.077311;478.03194;1690.419649;1369.615454;1023.666389;1026.563407;1591.29012;1369.615454;1093.237461;1171.780509;261.7600078;1676.657938;955.6615624;389.926489;724.3727679;109.2770723;1079.592926;;895.2839124;895.2839124;754.7365378;665.7615092;724.3727679;777.9803827;853.339553;853.339553;1023.666389;1309.985219;777.0011528;1026.563407;1237.802957;665.7615092;1009.58993;680.1130337;831.5940237;763.5956172;605.2811542;478.03194;318.2049974;1226.953188;890.9703924;1090.318466;1607.477348;1111.334285;597.8922712;428.6003417;546.1091576;144.6967059;856.6746714;1237.802957;763.5956172;597.8922712;438.5234268;261.7600078;144.6967059;389.926489;680.1130337;1356.945418;1171.780509;428.6003417;237.7616006;1079.592926;847.6353644;1252.526543;1031.850109;318.2049974;777.0011528;1090.318466;601.3273576;1168.094045;1691.910775;1591.29012;1690.419649;1721.527973;1207.335657
Luna;1006.2393;922.1682097;800.9612219;433.16357;173.8074856;0;247.7967163;1223.300792;1915.451317;772.0185293;265.0975927;791.7541883;1153.565061;1160.754863;413.5994883;762.7912138;58.39242031;1223.300792;1492.473233;483.046403;1725.166857;467.8347057;534.3233768;555.4021028;832.6859959;1446.079978;1155.05091;1883.352303;696.2164422;1446.079978;1162.586884;301.9958836;640.9983935;800.9612219;116.9478014;1234.195521;687.1315137;789.131153;444.265206;895.2839124;;0;265.0975927;448.6635147;687.1315137;1006.2393;1054.559105;1054.559105;1155.05091;1915.451317;1642.433205;1883.352303;2108.981623;448.6635147;114.4930981;1562.758723;1725.166857;133.115361;348.6919049;555.4021028;1039.641846;371.4224193;1134.652158;1831.777241;732.2300548;1973.126755;303.8713995;691.5046845;797.5800277;1029.085812;508.1321139;2108.981623;133.115361;303.8713995;483.046403;640.9983935;1029.085812;1234.195521;1562.758723;472.3171612;301.9958836;691.5046845;663.4419094;444.265206;1713.086325;388.6095001;173.8074856;1039.641846;1642.433205;1831.777241;363.3830144;1822.440416;814.8142982;696.2164422;832.6859959;1021.44951;1329.477188
Madera1;1006.2393;922.1682097;800.9612219;433.16357;173.8074856;0;247.7967163;1223.300792;1915.451317;772.0185293;265.0975927;791.7541883;1153.565061;1160.754863;413.5994883;762.7912138;58.39242031;1223.300792;1492.473233;483.046403;1725.166857;467.8347057;534.3233768;555.4021028;832.6859959;1446.079978;1155.05091;1883.352303;696.2164422;1446.079978;1162.586884;301.9958836;640.9983935;800.9612219;116.9478014;1234.195521;687.1315137;789.131153;444.265206;895.2839124;0;;265.0975927;448.6635147;687.1315137;1006.2393;1054.559105;1054.559105;1155.05091;1915.451317;1642.433205;1883.352303;2108.981623;448.6635147;114.4930981;1562.758723;1725.166857;133.115361;348.6919049;555.4021028;1039.641846;371.4224193;1134.652158;1831.777241;732.2300548;1973.126755;303.8713995;691.5046845;797.5800277;1029.085812;508.1321139;2108.981623;133.115361;303.8713995;483.046403;640.9983935;1029.085812;1234.195521;1562.758723;472.3171612;301.9958836;691.5046845;663.4419094;444.265206;1713.086325;388.6095001;173.8074856;1039.641846;1642.433205;1831.777241;363.3830144;1822.440416;814.8142982;696.2164422;832.6859959;1021.44951;1329.477188
Madera2;741.5114257;1160.085017;1033.422437;676.0438188;437.6310078;265.0975927;498.9533778;1094.233129;1659.323344;618.4984252;0;983.9947317;888.4730083;904.0195432;448.1447675;497.7160624;224.7493828;1094.233129;1243.849372;316.4849324;1560.277639;711.3256527;764.6896241;563.6663084;939.3067996;1194.142363;893.1364767;1682.86372;883.4784889;1194.142363;905.1364271;441.9381435;494.0235325;1033.422437;380.3812886;1044.877778;422.3076471;660.8601708;348.4742283;754.7365378;265.0975927;265.0975927;;185.6525639;422.3076471;741.5114257;789.4844287;789.4844287;893.1364767;1659.323344;1450.655879;1682.86372;1914.529957;185.6525639;353.2696455;1384.859809;1560.277639;225.4259863;389.1508857;563.6663084;969.0062444;628.234996;869.5547837;1596.079199;966.6120151;1774.214245;201.6556503;458.5920714;543.16321;870.8528834;270.3126344;1914.529957;225.4259863;201.6556503;316.4849324;494.0235325;870.8528834;1044.877778;1384.859809;705.318062;441.9381435;458.5920714;518.1497316;348.4742283;1520.044063;641.2819144;437.6310078;969.0062444;1450.655879;1596.079199;406.6032771;1572.726546;1045.730185;883.4784889;939.3067996;997.0582578;1071.247116
Madera3;558.0762394;1342.286975;1214.547272;860.4791969;622.1155489;448.6635147;684.5442379;1001.023535;1474.427985;598.9892115;185.6525639;1152.875666;707.6210577;744.4765893;524.1151017;318.6051493;410.3763392;1001.023535;1093.916022;265.0480475;1432.66931;895.745189;946.4526209;606.3079743;1073.642165;1039.837599;723.3508792;1529.593228;1051.791665;1039.837599;744.2868621;608.9930825;423.1610256;1214.547272;561.9052356;906.0572831;247.0216976;588.8108869;420.8882615;665.7615092;448.6635147;448.6635147;185.6525639;;247.0216976;558.0762394;609.1805938;609.1805938;723.3508792;1474.427985;1304.946071;1529.593228;1764.156503;0;538.8063066;1249.729181;1432.66931;384.8808123;479.726477;606.3079743;924.6663361;813.886334;688.3215976;1420.82633;1148.436255;1621.532373;271.2608855;299.5809549;360.7176584;761.6712467;200.7577104;1764.156503;384.8808123;271.2608855;265.0480475;423.1610256;761.6712467;906.0572831;1249.729181;887.9528129;608.9930825;299.5809549;445.5763334;420.8882615;1372.895167;826.811151;622.1155489;924.6663361;1304.946071;1420.82633;495.1750375;1390.249318;1226.406298;1051.791665;1073.642165;1055.906812;907.6930513
