Code_Bv_Standardized;Sub-drainage;Water Color;DistanceMouth_km;ShannonDiv;SoilDiv;PebasLake;Main tributaries position;NorthSouthMain;Number of waterfalls;NetworkDensity;Area_km;Sea level 25m;Sea level 100m;CSup15;Elevation_min;Elevation_max;Elevation_range;Elevation_mean;Elevation_std;Elevation_basinSup1000m;Number of sampled sites;Species richness SDMs;Species richness (raw data);Endemic species richness;Characidae (SR);Loricariidae (SR);Cichlidae (SR);Callichthyidae (SR);Anostomidae (SR);Rivulidae (SR);Doradidae (SR);Heptapteridae (SR);Auchenipteridae (SR);Trichomycteridae (SR);Serrasalmidae (SR);Curimatidae (SR);Apteronotidae (SR);Pimelodidae (SR);Lebiasinidae (SR);CurrClimate_tempMin;CurrClimate_tempMax;CurrClimate_tempMean;CurrClimate_tempCV;CurrClimate_precMin;CurrClimate_precMax;CurrClimate_precAnn;CurrClimate_precCV;CurrClimate_aetMin;CurrClimate_aetMax;CurrClimate_aetAnn;CurrClimate_aetCV;CurrClimate_petMin;CurrClimate_petMax;CurrClimate_petAnn;CurrClimate_petCV;CurrClimate_ro_mean;CurrClimate_npp_mn;CurrClimate_npp_sd;CurrClimate_npp_cv;CurrClimate_SolRad_mn;CurrClimate_SolRad_cv;PastClimate_tempMin;PastClimate_tempMax;PastClimate_tempMean;PastClimate_precMin;PastClimate_precMax;PastClimate_precAnn
Candeias;Candeias;White;2513.057456;0.957537857;0.763501692;1;12;South;3;0.13981971;29264.64372;0;12.5;5.926397369;50;1084;1034;168.0738833;81.81055342;0.049751719;66;870;434;1;76;37;29;9;21;3;19;7;10;11;14;20;17;34;8;17.64339715;33.07467684;25.44006622;0.544965222;19.17443501;350.6663308;2233.792169;62.68884411;71.77630632;157.9053404;1384.739629;0.260721586;125.1666907;165.018051;1748.941212;0.100305319;1184.396948;1983.474211;114.1639569;5.755757056;14.6053285;0.158792051;13.0753886;28.00313677;21.31238772;37.94713214;341.0126847;2397.445988
Canuma;Canuma;Black;1498.241944;0.124749976;0.714057791;0;10;South;1;0.187806305;73960.56018;2;54.8;0.146666092;8;340;332;105.8241771;58.70142682;0;68;944;272;1;53;12;30;4;15;4;14;1;9;4;7;17;5;14;6;19.63847745;33.35401439;26.49137705;0.397809658;48.63892337;315.6965131;2256.493311;49.13368271;90.06323266;139.8581115;1421.27125;0.145575616;127.3434469;159.4133683;1701.260424;0.085305119;1724.643452;2830.074456;106.4491183;3.761353983;14.71531424;0.170832155;15.3821497;29.58090065;22.8736901;51.56291541;380.4636818;2665.483033
Caqueta;Caqueta1;White;3068.494022;0.598060563;1.448684371;1;16;North;7;0.144758372;149918.2613;0;2.3;10.49837197;63;4022;3959;350.628023;509.5267791;7.698706783;196;758;421;8;103;30;36;13;19;3;10;6;13;5;24;24;1;18;12;19.89539115;30.99632591;25.27848215;0.592750309;119.7752572;338.4997179;2860.74441;28.46738294;111.7619482;138.0310981;1549.648015;0.067833812;111.7769443;147.3462624;1601.462869;0.075994609;1932.782211;3026.847533;411.8258974;13.60576947;14.76903307;0.035456728;15.99953263;27.97576708;21.63196633;80.43771654;431.4600103;2808.02595
Chapare;Chapare;White;4042.025467;0.299522505;1.18734903;1;12;South;0;0.214970733;20138.78056;0;0;32.71579511;172;4010;3838;586.8542225;684.1736234;19.58833699;136;282;243;1;60;26;15;7;8;1;6;10;9;6;13;17;0;18;2;13.37989267;31.24406049;23.54406456;1.954066184;82.29347914;420.6722498;2619.746158;54.18042117;87.47670542;155.6107001;1477.967152;0.189999273;95.42434344;169.7380681;1663.486828;0.186841486;586.5705798;3153.524548;757.6250931;24.02470891;14.23627315;0.210278132;9.929762373;27.29564586;19.81404509;132.1661003;446.1472668;3199.520606
Coari;Coari;Black;2054.789938;0.211621226;0.420437616;1;15;South;0;0.174085512;35587.04417;2;98.4;0;19;107;88;75.21843812;16.5287626;0;52;933;309;0;44;19;36;4;12;4;13;7;9;6;15;19;6;16;7;21.16984875;32.07785861;26.43615565;0.294037118;82.10012923;319.5134973;2517.059853;39.29873642;109.7344804;142.1552434;1510.048581;0.097466461;115.8040971;153.2365864;1641.278778;0.081436405;1618.777653;2828.558351;74.78826961;2.644041958;14.73925472;0.053214078;16.71185936;28.35164879;22.77252682;123.1497815;341.3535956;2628.883393
Curaray;Curaray;White;4117.1398;0.104369409;0.738378164;1;22;North;0;0.170058184;26585.53658;0;0;6.549096018;122;1100;978;253.7674426;97.06736428;0.082102535;62;532;595;3;111;69;31;29;23;4;30;17;16;16;18;30;13;37;12;19.61913197;30.80108343;25.18758077;0.504303713;183.2076194;326.2692815;3020.959074;18.22539785;115.7722553;151.5860151;1654.66507;0.081435966;115.7722553;151.5860151;1657.757499;0.082025316;950.3757863;2772.411951;623.2449037;22.48024156;14.77197182;0.009367731;15.53659973;28.15226238;21.85967871;129.6902276;449.0406961;2993.964659
Curua;Curua;Clear;695.9767388;0.183633778;0.448181366;0;6;North;0;0.132092162;25290.21118;3;15.9;38.97679874;0;604;606;308.8475585;145.0500547;0;27;543;58;0;14;2;11;1;2;0;0;1;3;1;1;4;0;0;3;20.78122021;32.44932905;25.74139936;0.649141626;68.40145344;318.3438567;2023.981984;51.1149569;79.68801758;136.0464087;1341.722292;0.16899652;120.5952679;162.6027379;1649.850735;0.097184056;1127.311353;2385.821336;125.9221397;5.277936692;14.77265063;0.005499066;15.60118966;27.47067637;21.46869427;68.02518178;422.5476748;2666.10039
Curua_Una;Curua_Una;White;505.1032443;0.321871218;1.032704447;0;5;South;0;0.121220888;31115.22453;0;13.9;13.66038054;1;456;455;170.7740325;72.67642641;0;83;655;166;0;21;10;22;1;7;2;6;4;4;3;9;7;1;2;8;19.61858655;31.57889413;25.38715938;0.516074182;41.64019409;324.2537146;1831.070042;64.40520314;63.15121443;136.8936345;1210.515324;0.246009007;121.8050332;157.2678327;1649.6201;0.086214383;977.8050148;2533.655048;115.8989436;4.574377389;14.75853111;0.033476523;14.94857322;27.21810857;21.20432404;48.69588998;377.9054028;2171.164883
Demini;Demini;Black;2196.111868;0.546946275;1.234208415;1;13;North;4;0.134150267;39591.81425;0;55.3;8.586514564;22;2039;2017;154.9701863;209.9802397;1.737115353;61;676;196;0;32;8;25;2;6;1;5;5;8;4;5;5;1;5;10;20.96373375;32.08742387;26.45221589;0.358521986;81.202907;321.5011879;2121.526457;43.60781392;91.14660274;147.6362792;1483.726081;0.148039026;127.9666105;156.4524211;1736.74351;0.059918435;1668.082537;2830.131205;349.2068004;12.33889085;14.76647247;0.030946484;16.58936704;31.10690335;23.07772996;31.19239735;392.2108661;2049.660212
Fresco;Fresco;Clear;1115.108707;0.954143219;0;0;3;South;0;0.066572164;43784.42027;0;0;17.22609614;184;754;570;346.7573987;99.87266829;0;48;139;96;1;34;4;12;1;3;1;1;2;1;1;6;6;0;3;1;16.53783324;33.26943122;24.86934223;0.310732927;11.65751596;300.5160379;1963.062314;64.43490037;59.01427742;152.9446315;1357.780809;0.321273663;137.529735;175.3895725;1866.463242;0.08042635;818.1868967;2468.246424;256.0587536;10.37411626;14.67120005;0.146518483;12.31282197;29.06561595;20.83253089;11.11458144;370.8772947;2189.213469
