"GenusspeciesAmazonfishbase2";"Genusspecies.Amazon.fishbase";"Genusspecies.base.morpho";"EdHd";"MoBd";"JlHd";"EhBd";"BlBd";"HdBd";"PFiBd";"PFlBl";"CFdCPd";"Length";"spAmazFish"
"Creagrutus_amoenus";"Creagrutus.amoenus";"Creagrutus.amoenus";0.5320847833;0.3725431571;0.300790889;0.4754634304;2.7064630285;0.3873356795;0.1177373028;0.1923510172;2.0401962484;9;"Creagrutus_amoenus"
"Creagrutus_anary";"Creagrutus.anary";"Creagrutus.anary";0.5630636863;0.3693658243;0.3429099737;0.5032696105;3.8758263458;0.5687762928;0.173317975;0.1281722328;2.5772742645;4;"Creagrutus_anary"
"Creagrutus_barrigai";"Creagrutus.barrigai";"Creagrutus.barrigai";0.470069032;0.4138985928;0.2439412938;0.5378303432;3.2499851975;0.5528721851;0.2007174295;0.181312133;1.8749489417;5;"Creagrutus_barrigai"
"Creagrutus_beni";"Creagrutus.beni";"Creagrutus.beni";0.4669666667;0.549836014;0.2544;0.4981916614;3.1005144218;0.6739149969;0.155842843;0.1868838925;2.6424733551;7;"Creagrutus_beni"
"Creagrutus_calai";"Creagrutus.calai";"Creagrutus.calai";0.4892165946;0.362815418;0.4391213712;0.5102980102;3.7961839045;0.5427459964;0.1622538989;0.1824607524;1.9944241426;7;"NO_INFO"
"Creagrutus_changae";"Creagrutus.changae";"Creagrutus.changae";0.5255321013;0.3742175052;0.2146743891;0.5349964334;3.506643289;0.6089026073;0.1967286885;0.1939201521;2.5936081621;7;"Creagrutus_changae"
"Creagrutus_cochui";"Creagrutus.cochui";"Creagrutus.cochui";0.4876030272;0.327189956;0.3497249799;0.4193138461;3.944539538;0.560547487;0.2075578658;0.1578096008;2.4439463381;8;"Creagrutus_cochui"
"Creagrutus_cracentis";"Creagrutus.cracentis";"Creagrutus.cracentis";0.5384854296;0.3760432286;0.2150592811;0.5413283541;5.1569770183;0.698352524;0.1487632142;0.1771488029;1.9923861456;4;"Creagrutus_cracentis"
"Creagrutus_ephippiatus";"Creagrutus.ephippiatus";"Creagrutus.ephippiatus";0.5316551426;0.3355510052;0.5295664074;0.4794470637;4.0253805627;0.6070348536;0.1277918255;0.1984134886;1.9652791069;6;"Creagrutus_ephippiatus"
"Creagrutus_flavescens";"Creagrutus.flavescens";"Creagrutus.flavescens";0.4484247847;0.373580026;0.4645695522;0.4561867764;2.9790864152;0.4586038695;0.1701840919;0.192373274;2.2749660963;9;"Creagrutus_flavescens"
