Genusspecies Amazon fishbase;Genusspecies base morpho;EdHd;MoBd;JlHd;EhBd;BlBd;HdBd;PFiBd;PFlBl;CFdCPd;Length
Ammocryptocharax.minutus;Ammocryptocharax.minutus;0,568864425;0,3649882742;0,4980016752;0,5248999862;5,9277555525;0,5764243344;0,3614429576;0,1894192035;1,3359623203;2
Ammoglanis.amapaensis;;;;;;;;;;;
Anableps.anableps;Anableps.anableps;0,5698979479;0,6324447296;0,4285967281;0,7870705244;6,5788805927;0,6587674269;0,3711427405;0,1901105454;2,0189576005;30
Anableps.microlepis;Anableps.microlepis;0,4489568619;0,5769732371;0,3976964033;0,8395510736;6,755882515;0,6761815543;0,3914512959;0,1618474321;2,473672243;32
Anablepsoides.amanan;;;;;;;;;;;
Anablepsoides.atratus;Anablepsoides.atratus;0,575246843;0,8446279023;0,3246003671;0,6797111809;5,3037619918;0,6608641136;0,4531108403;0,1680085992;2,025174949;4
Anablepsoides.beniensis;Anablepsoides.beniensis;0,5802105515;0,7068789842;0,2706720532;0,6196964155;5,3981999164;0,6564034904;0,4173894869;0,186142294;1,6754661595;4
Anablepsoides.cajariensis;;;;;;;;;;;
Anablepsoides.christinae;Anablepsoides.christinae;0,4782216036;0,3965454569;0,4504321897;0,3799997414;4,4492472102;0,6379468141;0,3620632433;0,1454627066;1,4127942412;6
Anablepsoides.derhami;Anablepsoides.derhami;0,5189828222;0,5971083904;0,2742492165;0,4881108975;4,3631038708;0,566786963;0,3366948857;0,1620340905;1,5406388046;5
Anablepsoides.elongatus;Anablepsoides.elongatus;0,4761904762;0,5188083235;0,3839166667;0,4804546493;5,8094890494;0,59338936;0,5089679499;0,1830410414;2,4112650952;5
Anablepsoides.erberi;Anablepsoides.erberi;0,5561704043;0,6121553011;0,4798809871;0,5577482223;4,6717925873;0,5137573497;0,5034805704;0,1677990555;2,0318185714;6
Anablepsoides.holmiae;Anablepsoides.holmiae;0,4393426088;0,3980950784;0,5109351178;0,3913166056;4,3143867296;0,6527007978;0,4267466226;0,2096843642;1,7684602141;8
