BvNiv2;WaterColor;Area_km;Chut_hydrofall;Chut_grand;NetworkDensity;Elevation_min;Elevation_max;Elevation_range;Elevation_mean;Elevation_std;Elevation_basinSup1000m;Elevation_basinSup1500m;NbEspeceEnveloppe;DistanceEmbouchure_km;23ma_cd;23Ma;10Ma_cd;10Ma;NbSites1km_0417;NbSites_0417;Diversity0417;Endem0417
Purus3;White;226665.8614;0;0;0.160906693;52;542;490;194.3378983;77.03124505;0;0;981;3074.207316;M;PebasSudEst2;O2;GroupAtlantik5;151;206;387;5
Putumayo;White;120578.8097;1;0;0.116929749;47;3946;3899;236.5404575;417.3083886;3.169947216;2.572327113;973;2907.733319;G;PebasSystem;D2;AtlantikNord3;129;257;579;1
Roosevelt;White;59329.29866;9;0;0.184456387;44;618;574;229.7896028;107.3158019;0;0;809;2110.402567;B;GroupAtlantik;G2;GroupAtlantik;44;44;151;0
Santiago;White;32951.12093;0;0;0.146519155;165;5029;4864;1662.86296;1058.413094;67.76310086;47.49334539;213;4664.067901;N;PebasOuest2;M2;AcreNordOuest;81;102;178;3
Solimoes1;White;22035.16524;0;0;0.105435655;7;83;76;38.86167493;16.5489094;0;0;1038;1591.603509;B;GroupAtlantik;B2;AcreSystem;188;463;578;0
Solimoes2;White;32870.00108;0;0;0.117207161;10;77;67;49.9402377;14.43183113;0;0;1019;1839.863616;B;GroupAtlantik;B2;AcreSystem;69;145;298;1
Solimoes3;White;17458.45134;0;0;0.132662685;18;92;74;56.7111991;16.58674158;0;0;979;2054.789938;E;PebasNordEst;N2;AtlantikNord2;94;150;338;0
Solimoes4;White;24635.14222;0;0;0.116116935;24;131;107;71.13135094;21.34170968;0;0;972;2264.121827;E;PebasNordEst;N2;AtlantikNord2;170;450;394;0
Solimoes7;White;29146.7061;0;0;0.115329531;47;225;178;116.6605341;36.76751622;0;0;945;2907.733319;G;PebasSystem;B2;AcreSystem;45;122;298;0
Solimoes8;White;32794.43207;0;0;0.082572367;61;172;111;113.6519307;20.84775964;0;0;974;3301.211917;G;PebasSystem;J2;AtlantikNord4;121;248;664;9
Solimoes9;White;27709.04536;0;0;0.142405167;79;239;160;140.2582502;28.68826981;0;0;810;3785.014556;G;PebasSystem;J2;AtlantikNord4;166;284;619;13
Tapajos1;Clear;42527.3817;9;0;0.125715855;1;446;445;109.8742002;74.96306717;0;0;844;576.8755036;B;GroupAtlantik;C2;GroupAtlantik4;315;514;608;10
Tapajos2;Clear;59068.76507;1;0;0.168691039;28;567;539;195.0236137;83.64300396;0;0;771;1084.561848;B;GroupAtlantik;F2;GroupeAtlantik3;103;156;311;1
Tapaua;White;62892.51269;0;0;0.202107077;38;188;150;107.5489075;24.04971877;0;0;892;2712.321399;F;PebasSudEst3;O2;GroupAtlantik5;19;23;108;0
Tefe;Black;24268.55219;0;0;0.188734914;24;134;110;86.95020543;17.76508912;0;0;966;2291.111319;F;PebasSudEst3;B2;AcreSystem;111;217;492;3
Teles_Pires;Clear;141419.1395;6;0;0.154668977;97;836;739;339.725474;99.85277193;0;0;636;1552.973572;B;GroupAtlantik;F2;GroupeAtlantik3;271;422;398;8
Tigre;White;42905.0432;0;0;0.153313778;95;624;529;201.6664346;60.65042387;0;0;566;4086.133335;G;PebasSystem;J2;AtlantikNord4;155;208;272;2
Trombetas1;Clear;127649.6668;25;0;0.147022968;1;894;893;244.1658499;115.0076472;0;0;781;813.7356776;H;AffluentsNord;K2;AffluentsNord;142;309;578;8
Uatuma1;Clear;33426.02428;1;1;0.154867971;3;324;321;96.3197771;52.1499122;0;0;922;1153.283725;B;GroupAtlantik;B2;AcreSystem;63;95;367;0
Uaupes;Black;64084.68841;10;0;0.149347066;68;667;599;182.4512964;56.7116532;0;0;575;2805.821472;C;PebasNord;N2;AtlantikNord2;82;121;229;4
Ucayali1;White;110606.2302;0;0;0.132863485;87;2255;2168;247.7565871;231.7880922;2.683800135;0.664984373;712;3995.873957;G;PebasSystem;E2;AcreOuest;284;476;543;11
Ucayali2;White;54232.07629;3;0;0.158553941;148;5108;4960;1393.199356;1300.77114;48.72197223;33.80966233;297;5041.484948;G;PebasSystem;E2;AcreOuest;81;106;116;6
Unini;Black;27309.43081;0;0;0.14402931;12;77;65;57.33170594;10.4826044;0;0;911;1944.280899;E;PebasNordEst;H2;AtlantikNord1;22;32;57;0
Urubamba;White;59359.12086;0;0;0.156402822;210;6228;6018;1868.57006;1583.997845;54.41979634;46.93022328;289;5448.281455;D;PebasSud;E2;AcreOuest;256;422;229;2
Xingu1;Clear;41438.74363;0;0;0.165238848;0;361;363;109.0908417;67.63557846;0;0;588;134.7960228;B;GroupAtlantik;C2;GroupAtlantik4;406;900;601;12
Xingu3;Clear;48112.05421;6;0;0.114759837;55;682;627;238.0378146;60.02353683;0;0;374;690.100019;B;GroupAtlantik;C2;GroupAtlantik4;119;162;195;0
Xingu4;Clear;78901.77829;5;0;0.128876699;86;673;587;316.0813469;57.91384531;0;0;215;1115.108707;I;GroupAtlantik2;L2;GroupAtlantik2;62;90;145;2
Xingu6;Clear;131538.9516;1;0;0.177843097;270;838;568;370.9341639;68.16926401;0;0;162;1838.576273;I;GroupAtlantik2;L2;GroupAtlantik2;158;183;213;6
Yacuma;White;21385.46202;0;0;0.059571245;140;1759;1619;237.7339528;181.3232022;1.710394269;0.099980005;474;3614.475011;A;PebasSudEst;A2;AcreSud;30;37;223;0
