"","id","BvNiv2","roqst_mn1","roqst_std1","roqst_cv1","roqst_mn2","roqst_std2","roqst_cv2","roqst_mn3","roqst_std3","roqst_cv3","roqst_mn4","roqst_std4","roqst_cv4","roqst_mn5","roqst_std5","roqst_cv5","roqst_mn6","roqst_std6","roqst_cv6","roqst_mn7","roqst_std7","roqst_cv7","roqst_mn8","roqst_std8","roqst_cv8","roqst_mn9","roqst_std9","roqst_cv9","roqst_mn10","roqst_std10","roqst_cv10","roqst_mn11","roqst_std11","roqst_cv11","roqst_mn12","roqst_std12","roqst_cv12"
"32",32,"Madre_Dios",224.121428717,123.613194273,55.1545628548921,229.892857506,95.3064839408,41.4569138748961,218.00714402,75.7018222813,34.724468604733,141.652380807,52.3973521323,36.9900963427441,105.738095601,58.8664110292,55.6719039572368,83.6333337057,64.2823707658,76.862140868383,63.1619049822,52.0491483702,82.405919176865,44.7119050934,34.1124280905,76.2938372212984,37.2404761655,26.9865226065,72.4655680732155,85.4976196289,74.3772808601,86.9933937142724,101.471428417,72.5194859984,71.4678871971516,168.933333442,109.892907687,65.0510502858985
"58",58,"Mamore1",83.050000906,19.6836233713,23.7009309531241,99.4812493324,17.4748112128,17.5659346158901,112.831250668,17.2702317917,15.306248658465,74.006248951,11.2751643722,15.2354220515424,33.5624998808,5.03932992016,15.0147633163727,13.9687498808,2.78897811116,19.9658389974714,8.05625006557,2.20509887653,27.37128140987,6.98125001788,1.42092343466,20.3534242581315,9.13750013709,1.37107395576,15.0049131074119,14.7687500119,2.83057400434,19.1659686978197,29.1437501907,6.11442695134,20.9802338797536,49.2124996185,11.823962262,24.0263395553172
"59",59,"Mamore2",82.3500003815,15.0306446777,18.2521488865429,98.4166662428,13.1159040972,13.3269136193277,103.405555725,11.8714633744,11.4804889265054,62.4777779049,7.40386969533,11.850404965746,39.0333333545,8.05674356433,20.6406752176628,23.3777779473,7.89968745458,33.7914384865323,15.4666667779,5.86136123787,37.8967318688548,11.433333238,3.32983161037,29.1238918787298,11.7500000265,3.56031345473,30.3005399719179,18.022222254,4.39274059449,24.3740229844022,25.4777779049,3.42435007102,13.4405366268673,46.6999997033,8.70491517998,18.6400754502893
"40",40,"Mantaro",33.0769228568,14.5995860957,44.1382838388747,50.5846157074,17.6843193432,34.9598768239984,53.5230770111,19.4973828136,36.4279931244545,30.3153847181,12.746513724,42.0463531719247,16.0615385679,7.25168831409,45.1494001239891,8.38461543964,3.42655837859,40.8672097516869,7.03846163933,3.45621819673,49.104738703371,6.23076926745,2.70622784117,43.4332860840721,10.8692307839,3.66970647184,33.762338336543,16.3461538828,9.01934795456,55.1771873630192,13.8923077217,6.20117378157,44.6374634495295,20.399999912,9.73352626369,47.7133642435184
"67",67,"Maranon1",93.6769233117,16.8473761874,17.9845532835682,88.4692324125,10.9972299339,12.4305700795774,96.1076918382,11.0730071619,11.5214578043782,126.807692895,13.9108949861,10.9700718217613,118.892306401,13.829981987,11.6323607520526,83.3307691721,13.6270868543,16.3530074061317,58.5230774513,14.4918627049,24.7626463542684,43.6307688493,10.7451151937,24.6273798905847,52.6769224314,11.1695436597,21.2038652680324,57.1230768057,9.70639355649,16.9920706293633,61.876922314,9.70171681694,15.6790552182084,75.8846156781,13.201973018,17.3974301642408
"68",68,"Maranon3",69.3555556403,17.9680655799,25.9071755881938,71.2222230699,19.8225907051,27.8320302999324,101.177778456,27.9011657783,27.5763771492904,131.355556912,43.1772593127,32.8705235832741,138.099998474,51.5785687945,37.348710618712,119.155556573,58.8926736266,49.4250333936544,101.133332994,50.7583802604,50.1895653566677,73.8111101786,33.6334294997,45.5668928679131,70.3000000848,27.5341806021,39.1666864422285,64.5111109416,23.6414630171,36.6471181042006,63.7777786255,21.1749221851,33.2010970614673,63.4222221375,18.0297146028,28.4280714159012
"69",69,"Maranon5",27.0782608779,16.777468159,61.9591791166063,31.221739147,13.5933155848,43.5379833288567,46.2565215567,19.7877389953,42.7782685108406,40.4521735233,22.6542028199,56.0024365732819,31.7739130725,31.0359288775,97.6773896456628,24.2086957538,27.046142941,111.72077676574,21.5391303405,26.537565514,123.206299857434,17.1086958647,21.3217163537,124.625024153317,18.3608696772,18.3441197561,99.9087738141249,33.6521740789,19.6299435751,58.331873385286,21.808695731,14.3750361276,65.914240378743,26.1000000083,18.1186182669,69.419993337694
"20",20,"Marmelos",169.644446479,8.21463596807,4.84226636271696,199.022223579,4.00770638882,2.01369792616611,232.111111111,5.79490890422,2.49660986778387,178.544443766,10.9122850341,6.11180320368951,100.977778117,11.7512903247,11.6375013828133,39.0666664971,6.30361477838,16.1355327791992,18.3222222858,2.49077299789,13.5942734404024,16.7222224341,0.765619534036,4.57845562725411,21.4666663276,3.36650188953,15.6824624660124,38.8333324856,7.3242368962,18.8606962817727,65.5333340963,5.58231380738,8.51828139733726,109.91111162,3.71496803129,3.37997494205491
"18",18,"Maues",90.8666665819,22.2692115265,24.5075695678,180.63333469,17.6351899286,9.76297645108818,229.18888855,13.7931078335,6.01822711422194,196.022225274,7.29851995284,3.72331246757255,133.311110602,7.36258472438,5.52285904087993,65.5999997457,13.4891730848,20.5627639284925,33.8444442749,8.37471226131,24.7447179019598,25.0111111535,3.20084871366,12.7977069631794,21.5333332486,3.84129625596,17.838837172177,23.6555553012,8.26587482087,34.942637006922,31.8222219679,14.4595047953,45.4383883371995,45.7444449531,15.579054554,34.056713487228
"70",70,"Napo1",124.61428506,15.8973862758,12.7572743912511,100.542856489,15.2476570363,15.1653310526026,142.699999128,11.4155264764,7.99966821734906,192.671425956,8.40165145626,4.36061103226519,181.285716466,6.75730777909,3.72743529430645,159.214285714,16.6617990561,10.4650151092785,152.871429443,28.434372095,18.6001872283154,123.242856707,24.0224814057,19.4919868360497,101.628571647,10.6014447467,10.4315593291259,100.985715594,5.55271509286,5.49851536942509,107.100000654,5.21152371408,4.86603518417939,114.628570557,9.60962512281,8.38327222970257
