"","BvNiv2","MEAN","STD","cv","MEAN00","STD00","cv00","MEAN01","STD01","cv01","MEAN02","STD02","cv02","MEAN03","STD03","cv03","MEAN04","STD04","cv04","MEAN05","STD05","cv05","MEAN06","STD06","cv06"
"24","Pachitea",3461.16146868,652.907626176,18.8638303091073,3324.78055827,754.263983001,22.6861282957414,3676.59118402,672.246549932,18.2845063887947,3325.129573,572.221791913,17.2090073289003,3538.06652261,708.83183827,20.0344406680941,3415.4137741,746.277427348,21.8502786692266,3158.24608233,620.241750691,19.6388037702691,3789.90256647,600.386389935,15.8417368099838
"25","Tigre",2229.48547631,325.788774125,14.6127336368304,2716.70385061,313.779492444,11.5500072771475,2539.78697174,318.150219752,12.5266498053589,2063.248763,368.184736326,17.8449028022512,2160.39742787,430.070633518,19.9070146987732,2180.19050191,349.691388497,16.039487750756,1608.42804733,307.087575291,19.0924036546594,2337.64274737,242.824159647,10.3875649912799
"26","Huallaga",3193.86244015,1150.70979261,36.0287837742929,3120.88935285,1177.79448361,37.7390657100495,3428.57711165,1136.75738318,33.1553687189184,3173.54760627,1101.01464873,34.6934971624411,3173.15766033,1221.50760887,38.4950178852117,3191.25665324,1128.99726022,35.3778270724092,3041.01478904,1176.84483013,38.6990827657734,3228.59387086,1169.84220486,36.2337987263907
"27","Pastaza",2544.43593117,814.366860631,32.0057915648335,2753.23414518,875.777919353,31.8090606600313,2820.01298115,856.883311808,30.3857931695961,2497.06248217,836.99322993,33.5191143956732,2584.06247689,923.292292812,35.7302619835729,2522.33004196,850.814844179,33.7313051831182,2135.87214391,724.420210896,33.9168340652569,2498.47722045,702.62859295,28.1222733270888
"28","Santiago",3164.12531417,818.325047273,25.8625991710338,3332.36944943,906.439503208,27.2010506927149,3365.83348285,860.143809563,25.5551504239799,3170.75040091,787.051413072,24.8222443761615,3193.81335954,821.743073451,25.7292139816634,3114.20186802,790.076246568,25.3701038035254,2959.42296638,834.457974987,28.1966445643868,3012.48561179,797.77332721,26.482228631657
"29","Apaporis",2958.38170127,173.555299859,5.86656210672526,3160.41400248,228.630889584,7.23420695531002,2999.33078406,377.148561312,12.5744237119948,3101.95884619,234.152733292,7.54854415878533,3327.80011199,221.871984921,6.66722692031891,3005.9643601,150.179630103,4.99605491323936,2282.42002542,201.556830774,8.83083869442087,2830.78374772,120.567847787,4.25916843291576
"30","Curaray",2772.4119508,623.244903709,22.4802415647198,3274.13828408,550.35744731,16.8092303854736,3085.50883695,626.33085035,20.2991105664479,2689.84549117,662.953715691,24.6465351956939,2894.42506571,693.675204802,23.9659064945197,2743.92407933,662.393668751,24.1403788734833,2038.48352247,710.895712893,34.8737532119768,2680.5583708,477.410646149,17.8101193896598
"31","Orthon",1904.59007621,257.646646789,13.5276692873303,1909.00203184,166.423200306,8.71781158585736,1707.20730983,407.209897339,23.8523988852619,1564.59075267,400.691955469,25.6100168549004,1808.17363841,201.526349382,11.145298499054,1619.85929721,282.540209603,17.4422686025656,1777.36491183,164.817893411,9.2731600761321,2945.93261596,247.95069223,8.4167129582901
"32","Madre_Dios",2827.19392757,1068.8051762,37.8044521734895,2840.20013795,1074.96097388,37.848071321336,2841.77935832,1267.5602879,44.6044582662236,2669.98909193,1211.49977561,45.3747088058052,2819.25343713,1092.2058277,38.740959337514,2817.0044212,1220.15142981,43.3137917934199,2624.15702544,975.676663536,37.1805747170334,3177.97401947,761.199656469,23.9523561805564
"33","Beni",2640.07552543,1285.98075248,48.7099986380332,2705.86668582,1307.44215208,48.3187940829312,2549.42075835,1411.8787579,55.3803742781861,2481.16234535,1362.79113676,54.9255126055752,2671.36098324,1343.03790499,50.2754181638558,2757.32585742,1447.79146039,52.5070860411356,2609.65189896,1255.11607669,48.0951531194712,2705.74015357,957.662494219,35.3937347958356
"34","Itonamas",1336.14889908,463.587015701,34.6957600324486,1548.30247934,453.13028209,29.2662634166392,1249.07209988,507.429354728,40.6245047645168,1215.62272661,481.629848338,39.6200102050674,1203.00138263,507.676668162,42.20083829431,919.931271665,505.209587142,54.9181882063442,1428.57376196,477.867548304,33.4506737438861,1788.53857705,479.120705845,26.7883909239049
