"","id","BvNiv2","rounhcmp_mn1","rounhcmp_std1","rounhcmp_cv1","rounhcmp_mn2","rounhcmp_std2","rounhcmp_cv2","rounhcmp_mn3","rounhcmp_std3","rounhcmp_cv3","rounhcmp_mn4","rounhcmp_std4","rounhcmp_cv4","rounhcmp_mn5","rounhcmp_std5","rounhcmp_cv5","rounhcmp_mn6","rounhcmp_std6","rounhcmp_cv6","rounhcmp_mn7","rounhcmp_std7","rounhcmp_cv7","rounhcmp_mn8","rounhcmp_std8","rounhcmp_cv8","rounhcmp_mn9","rounhcmp_std9","rounhcmp_cv9","rounhcmp_mn10","rounhcmp_std10","rounhcmp_cv10","rounhcmp_mn11","rounhcmp_std11","rounhcmp_cv11","rounhcmp_mn12","rounhcmp_std12","rounhcmp_cv12","rounhcmp_mn13","rounhcmp_std13","rounhcmp_cv13"
"15",15,"Bacaja",129.080897591,35.1423888109,27.2250886589359,135.983044711,18.9730307696,13.9524973940117,136.229382602,22.1021226787,16.2241964666847,134.243637085,23.5278608432,17.5262391232016,67.4019546509,20.0101206149,29.6877452865276,38.6883950667,12.5685403612,32.4865902023887,22.5364781293,6.64187441271,29.4716608984028,13.5188016891,3.77972383451,27.9590153138908,8.16509381208,2.28288075688,27.959026674042,4.93155756864,1.37881527375,27.9590221660992,15.6315133788,11.7371890464,75.0867095333097,42.0324407274,18.6686921456,44.4149609742513,748.443204013,110.323484699,14.740395010265
"33",33,"Beni",129.044591045,43.2266943132,33.4974863829249,105.471956635,31.8132012041,30.1627107518199,102.627583265,56.2172942408,54.7779577890268,50.4584450483,27.9544781845,55.4009901766519,28.1971478224,15.8837638909,56.3311012551483,16.6609409094,9.01639364889,54.116953525734,10.0881450653,5.50029932779,54.5224051813973,6.1849334687,3.5740412168,57.7862516207668,4.05169101655,3.30544907904,81.5819633219361,4.29558718503,7.01824557156,163.382682489099,7.34403667897,12.25639315,166.889051427218,48.6119526386,25.8450114463,53.165960311123,513.037013245,205.279422706,40.0125950772228
"37",37,"Blanco_Baures",57.1074872718,58.5414064664,102.51091277712,59.9441873288,45.5396699904,75.9701182378372,66.3455134964,38.9752012504,58.7457978639578,28.2290393043,19.1047428216,67.6776230875482,15.5485059196,10.1996308542,65.5987842622399,9.39099583119,6.160378915,65.5987823414822,5.67197753534,3.72074880719,65.5987930842001,3.42576431751,2.24726008888,65.5987943301777,2.06909552746,1.35730152089,65.5987847287171,1.24969287921,0.819783342429,65.5987847948074,1.98351972843,4.75799589697,239.87640903053,22.5557232006,24.9384769994,110.563854581868,273.521500883,207.08838902,75.7119233228334
"11",11,"Branco",40.6996539538,47.2736834239,116.152543895244,5.47198544341,13.2516954572,242.173441326662,11.1373305545,23.6820676096,212.636838726416,38.2818634515,64.0219309109,167.238282410182,76.0811674058,80.0427087614,105.206993387036,165.887860408,71.0728106657,42.8438889324975,186.067906239,67.5184702737,36.2870049104406,128.308263122,45.3131801345,35.3158705697813,72.2146934759,36.0425672962,49.9102960372301,52.9962287027,45.6219513954,86.0852791079372,36.9223417063,36.9171676747,99.9859867187158,25.4300898333,28.0289167569,110.219495647227,839.499380643,476.999781674,56.8195513507884
"21",21,"Candeias",319.291498184,56.3342846405,17.6435279238271,247.407484055,48.6422355689,19.6607777467583,244.699262619,47.3578876164,19.3535064672985,192.4727211,44.632893871,23.1892050031395,99.7905716896,25.1139405948,25.1666466777215,54.007319212,12.5577776862,23.2519922659108,32.6052222252,7.56666362854,23.2069070907661,19.6929198503,4.57011602491,23.2068990258973,11.8941410184,2.7602622787,23.2069072867888,7.18383058906,1.66714536086,23.2069136401802,48.3761113882,24.0778897517,49.7722720176577,179.685213089,40.266056676,22.4092210949244,1457.10639191,300.677316557,20.6352342029649
"52",52,"Canuma",398.326887651,73.0964094435,18.3508599870226,343.339859009,26.9473424156,7.84859133261706,408.813509854,25.3461369075,6.19992644483591,365.310649525,9.53784675836,2.61088658947165,236.065467834,17.3542489267,7.35145596936839,118.926667647,7.94495248539,6.68054746894307,69.1753683957,3.49473899633,5.05199911092521,41.7805789601,2.11075600467,5.05200276589214,25.2346568541,1.27485602089,5.05200458346184,15.2412427122,0.769987358179,5.05199853265676,39.0180157315,32.1076463901,82.2892855727127,157.053978313,56.5904058029,36.0324561088917,2218.28690407,202.249854426,9.11738937172294
"73",73,"Caqueta1",177.932272775,91.5911797483,51.4753047998883,38.7377116333,56.7336805965,146.455942296112,75.8283885963,86.7214783487,114.365450663067,206.442812606,109.643801299,53.1109801861968,270.753961213,96.4584275872,35.6258601554926,291.116737541,98.8172323824,33.9441947643024,237.58159363,88.3448495327,37.185056377004,206.521613627,78.8340710445,38.1723102294188,198.051453916,64.846052453,32.7420229293057,199.476414133,55.0587746481,27.601646484075,170.889567453,43.8381820955,25.652930573165,123.091149116,58.9267912066,47.8724844392085,2196.42360547,740.564797736,33.7168475102748
"95",95,"Chapare",114.786258929,135.522615773,118.065190936161,81.850500805,81.5471424292,99.6293750523009,84.5679073845,91.0728209899,107.69194107621,52.9066013949,62.4693720693,118.074815660569,33.1022122162,41.8850060762,126.532347151414,20.2267609835,27.0027076559,133.499909738032,13.3827286544,18.9257760955,141.419411423825,7.59544357338,10.3320735414,136.029890046332,4.48932614444,6.02203651954,134.141212417776,4.89157023174,7.43904477278,152.0788707992,7.73130879445,14.9058545458,192.798592606989,45.8819159844,62.1584768227,135.474893515419,471.412589141,551.318992101,116.950417702167
"8",8,"Coari",338.728308105,28.4391403617,8.39585581754341,219.439250183,12.8975117516,5.8774862477174,253.493157959,31.2131383514,12.3132074264696,317.193859863,19.5637595277,6.1677611086639,263.010093689,12.8317261644,4.87879608893378,162.195898438,26.7305497807,16.4804104407843,89.3783302307,16.0314113712,17.9365751517402,52.1282093048,9.73270621587,18.6707089034302,33.3772583008,9.44479643212,28.2971008193732,46.2536532402,25.6993321477,55.561734797986,87.936636734,30.6554467428,34.8608360307545,161.450518799,20.0276423875,12.4048176100528,2024.58530273,170.416325356,8.41734478296402
"30",30,"Curaray",27.6735172272,8.74727589715,31.6088331863808,3.63151268661,3.90306162191,107.477570883925,11.8234071136,5.5959060219,47.3290479481439,27.0702254772,7.24490481518,26.7633707790208,39.5670862198,3.48812680813,8.81572827666164,41.0248656273,5.03352949809,12.2694600484942,38.0454368591,2.82544958388,7.42651370871087,31.5210938454,1.81967267264,5.7728728627403,28.547087431,2.6139675025,9.15668720607002,27.7647447586,4.81254323894,17.3332882429951,25.5715858936,5.55682046767,21.7304491430105,20.0485063791,5.09078240625,25.3923275379606,322.2890625,52.7903543503,16.3798156663477
"2",2,"Curua",34.515314017,24.917923707,72.1938200959929,156.901384762,76.0920209318,48.496717251554,251.773083278,115.591335474,45.9109186609784,279.602342878,128.304279211,45.8881273634333,247.567228045,107.443343674,43.3996634055579,169.245267596,72.7836315836,43.0048252559354,97.228377206,40.9276695046,42.0943665632571,52.1171530315,22.1793237432,42.5566679165968,31.4682159424,13.4141752548,42.6276954478562,19.0061900956,8.10190143476,42.6276986287516,11.4793683801,4.89339085132,42.6277011878364,6.93331587315,2.95551280573,42.6276958933248,1357.83699036,601.640915068,44.3087733902792
"4",4,"Curua_Una",46.155023965,14.5001797211,31.4162543433965,159.572848927,30.1874351697,18.9176513252012,181.581455578,4.54850988999,2.5049418595701,215.949791648,7.37120413756,3.41338793675482,146.897555265,6.32533852468,4.30595220816931,108.296507402,4.58904392342,4.23748099870417,57.3323281028,2.39932853375,4.18494872464951,32.2609623996,1.13123637596,3.50651775960046,19.4849936745,0.68324579972,3.50652307685459,11.7685573751,0.41266487777,3.50650351285298,7.10797847401,0.249241867289,3.50650847073245,4.29308085008,0.150537347266,3.50651088397729,990.70094438,51.7295804189,5.22151318340303
"12",12,"Demini",155.69945844,77.1174920059,49.5297111361616,69.6607005596,33.794285693,48.512698582591,92.0458057721,41.8026419767,45.4150426801639,236.746021271,66.9027089551,28.259274895487,296.027877808,54.7692021975,18.5013663588206,319.236699422,56.8445986938,17.8064109786629,298.719033559,77.5405984247,25.9577026280734,191.878510793,55.1589769596,28.7468235664524,137.964088122,55.1934451305,40.0056608076829,123.241799037,64.0267739465,51.9521578285933,107.218637466,66.1362564502,61.6835449631342,87.9098024368,52.4752900887,59.6921943106691,2116.34840902,656.700981959,31.029908835431
"14",14,"Fresco",113.613509587,14.0772316817,12.3904557942736,85.7262785775,15.6579414431,18.2650427650893,84.3702776773,13.8643995383,16.4328006496893,76.1308803558,12.909194241,16.9565807996289,39.6438816616,1.83350720197,4.62494368644526,27.5800093242,10.1845788596,36.9273945482809,16.4882272312,7.41450015531,44.9684496176754,12.3118530682,9.59050171464,77.8964926036283,14.6120166097,17.3361587362,118.64316335838,21.1262905598,18.3747586092,86.97579235308,41.9400610243,12.1894311588,29.0639328153039,51.7233554295,8.94667902887,17.2971744670829,585.266649519,34.0260881291,5.81377533762846
"94",94,"Grande",76.6839460612,58.3382144259,76.0761768562893,63.5525177338,44.8247953876,70.5318954873761,44.5880144415,45.2714424718,101.532761749678,22.512155221,24.4190471014,108.470498989014,13.1281626891,13.7914469822,105.052377158997,7.83385550805,7.85660974716,100.290460285955,4.68053350862,4.69680836837,100.347713774937,2.82695124618,2.83678082323,100.347709464862,1.70742351738,1.71336042008,100.347711194063,1.28725628535,2.1968190532,170.659027126264,2.40856504852,6.00108844261,249.156170654287,24.7191907886,27.3581656044,110.67581393893,265.928578225,227.573184641,85.5768064342645
"38",38,"Guapore",95.2742387778,46.8084499577,49.1302271822579,101.100413952,32.8252182479,32.4679365442407,102.923584137,25.3320244565,24.6124585233846,53.0307830811,22.0124358833,41.5087890549087,27.1745410252,9.35649075133,34.4310902717855,16.3256996155,5.53590090183,33.9091189487162,9.86040449619,3.34357640334,33.9091201038653,5.95549258947,2.01945540508,33.9091246398431,3.59700169206,1.21971181761,33.9091254892202,2.17251917839,0.736681989318,33.909113284051,2.33204742312,4.54013812248,194.684639663367,23.4952433321,25.9398445697,110.404664480576,443.241966858,157.042118883,35.4303361651924
"26",26,"Huallaga",12.0677642445,14.0903969043,116.760624576519,10.2487289481,10.131664125,98.8577625216471,12.4530546088,9.59113932913,77.0183672233508,11.3784213441,7.83982437033,68.900809112638,7.30270251345,5.71177628796,78.2145551929596,4.04168593024,3.45597384387,85.5082236353971,2.34789704246,2.07540002147,88.3939961564715,1.38418529107,1.16918169106,84.4671373553032,1.01731853497,1.0470056617,102.918174171561,2.4193095651,4.04921013261,167.370484167148,5.32705632584,6.99569762106,131.323890590867,6.45376179128,8.25862018793,127.96599030179,76.4418864625,72.1544042758,94.3911873645305
"13",13,"Iriri",127.993707618,69.3183156868,54.1575964762909,129.214683611,50.3903512361,38.9973877797045,134.587616317,54.4324318032,40.443863479232,128.687180305,55.689492831,43.2750897945009,68.9077384715,36.4830373155,52.9447608131694,41.4640022589,23.8002281144,57.3997366819346,23.4689041692,12.4352118744,52.9859075854068,13.9772578843,7.24507763212,51.8347568034647,9.7864111005,7.92752627118,81.0054491863209,10.9274683899,13.9248470975,127.42976324114,34.5936766206,36.2617793185,104.821987313446,49.8991440462,38.7637112365,77.6841205945536,773.507805338,315.597138974,40.8007697913395
"36",36,"Isiboro",90.765688215,46.4231184679,51.1461097038518,84.6763932364,38.0280402331,44.9098488724397,67.6731529236,38.2888517011,56.5790864574116,30.2695766176,18.8374985101,62.2324479396487,17.6967278889,10.6076115352,59.9410896850229,10.5350818293,6.09308753655,57.8361671534815,6.36298462323,3.68010694024,57.8361752880033,3.8431193488,2.22271276211,57.8361627724113,2.32116913795,1.34247608364,57.8362025279055,2.37289464899,2.67430694434,112.702304144783,4.99951401353,8.03963570962,160.808344328321,30.5641344488,29.1649033564,95.4219835842433,352.080450875,189.127025486,53.7169913910234
"34",34,"Itonamas",44.2811908244,64.9666747224,146.713928674659,41.9941931481,54.023312967,128.644721846369,37.3130258137,47.2209343893,126.553484633139,17.7364577524,23.7522125639,133.917453504412,9.80005415406,13.0133571023,132.788624406823,5.84299020423,7.68112350086,131.45877765291,3.52905229136,4.63924957242,131.458793732755,2.13147896275,2.80201647998,131.458791240655,1.28737193836,1.69236330039,131.458768826818,0.7775479246,1.02215446734,131.458709489301,1.07162278052,4.2525058432,396.828615488791,17.326477435,26.6539107782,153.833408309287,183.091458565,246.856529521,134.826895506631
"16",16,"Jamanxim",221.705410204,55.7098543369,25.127873192467,186.617425216,16.0604018492,8.60605692668352,214.362695794,17.6634019975,8.23996075066826,186.717978227,15.3885460703,8.24159848795683,98.5331573486,15.7328064063,15.9670174280917,53.4302175421,8.54810937754,15.9986422866509,31.5593085038,4.02463595552,12.7526113413905,19.0612089759,2.43080076585,12.7526054035889,11.5125990918,1.4681557882,12.7526006637868,11.66300224,8.4897339779,72.7920118953865,62.3652928754,40.0536527493,64.224267862132,102.088774832,36.5539627608,35.8060548977634,1199.61705579,138.113197818,11.5131072162897
"72",72,"Japura1",287.491726419,143.087387435,49.7709583567145,150.821548296,74.1231794135,49.1462793287515,183.475249747,93.3953696246,50.9035250004488,247.833523626,120.610996374,48.6661346735365,247.070301885,118.418061981,47.9288935487351,208.22395391,99.8938793266,47.9742495763849,163.376149551,81.2339076892,49.722011390556,123.010980689,63.8935980674,51.9413776798818,111.993666524,60.9850950413,54.4540570320832,128.060630052,71.1674139821,55.573218680247,145.52800618,85.2751841565,58.5970950849318,166.568604842,86.9724556868,52.2141947273308,2163.45437755,1066.49152864,49.2957716005893
"1",1,"Jari",32.928051798,19.0919138807,57.9806968168691,69.0923724927,23.8492565226,34.5179296384993,114.027484693,59.2914110008,51.9974733814678,133.998727899,54.3270413656,40.5429530693369,148.560782583,51.5121354031,34.6741141958649,113.842039409,39.3766829768,34.5888769923837,70.29114151,25.9600947221,36.9322423344153,40.1066857388,15.0480797224,37.5201277422986,22.4439355951,7.95783739209,35.4565150054493,13.5557017075,4.80637859823,35.4565090169457,8.18737986213,2.9029585425,35.4565024633507,4.94501852989,1.75333139697,35.4565182389519,771.979307476,243.100891199,31.4905968132517
"10",10,"Jatapu",41.7501761913,34.5620274896,82.7829500197465,58.480688488,84.6868139363,144.811588450566,92.4594507217,115.950316343,125.406667937069,115.104997552,125.249290817,108.813078042434,147.036100785,86.4122970187,58.7694427132928,218.241909027,43.1592673827,19.775884281401,165.150558472,58.805794598,35.6073846447029,104.586547216,46.2994425839,44.2690229444891,51.5337333679,17.7876073723,34.5164345950138,30.8606710434,10.4894624253,33.9897418644865,18.6392459869,6.3354309992,33.989738660312,11.2577421665,3.82647821378,33.9897481856226,1055.10175578,267.113546176,25.316377753398
