"","PD_sd","SR_sd","mpd.result_sd","mntd.result_sd"
"Putumayo",0.603861476939448,0,0.0636738006544622,0.634211133763949
"Roosevelt",0.43561611238502,0,0.0833983204816687,0.592677110417946
"Santiago",0.385550701913539,0,0.0647148844198253,0.487110811176501
"Solimoes1",0.594379672535691,0,0.0460795568497274,0.629119727005918
"Solimoes2",0.506888149145028,0,0.0426247074585,0.584827671909446
"Solimoes3",0.479639067995228,0,0.0389031044414168,0.58927071907426
"Solimoes4",0.515443911830206,0,0.040149175166462,0.593225631509011
"Solimoes7",0.492719442342217,0,0.0550613263837312,0.520997510860439
"Solimoes8",0.560472233677491,0,0.0593393009481032,0.571287533787517
"Solimoes9",0.548545384692415,0,0.0586160450116697,0.585216097660881
"Tapajos1",0.510886777968941,0,0.0500730721914215,0.582506582700421
"Tapajos2",0.503921341742654,0,0.0505297551150708,0.53606139855426
"Tapaua",0.362871900827591,0,0.0826965790611225,0.476752215756772
"Tefe",0.537424853495061,0,0.0485407586806476,0.579622896255398
"Teles_Pires",0.48085545433649,0,0.0717897661477549,0.566305833707778
"Tigre",0.428595903871537,0,0.108138552968943,0.512618587250444
"Trombetas1",0.512118227499859,0,0.0406691782462279,0.571754840934064
"Uatuma1",0.489803243655306,0,0.0419664779432163,0.625577941901158
"Uaupes",0.461171835917163,0,0.0514150133155159,0.578510020365626
"Ucayali1",0.543162948651143,0,0.059987582638696,0.628350236264597
"Ucayali2",0.366168537398677,0,0.144838002443291,0.424549133366867
"Unini",0.450313797981049,0,0.043418661339385,0.586518647323935
"Urubamba",0.41498912386971,0,0.0932888479205991,0.501308714629304
"Xingu1",0.550616217293541,0,0.0528079455341742,0.632975056858127
"Xingu3",0.433752459324829,0,0.0518359451722657,0.518228036520106
"Xingu4",0.409130173073685,0,0.0743915592002309,0.534531417174133
"Xingu6",0.493768283067305,0,0.0726757071727799,0.538095136179709
"Yacuma",0.435339533673071,0,0.0614218253973015,0.496856852788767
