"","PD","SR","mpd.result","mntd.result","PD_sd","SR_sd","mpd.result_sd","mntd.result_sd"
"Pastaza",-0.7624276646556,332,-5.21882785525049,-0.159413557025209,0.434827500270702,0,0.0626124455322128,0.543832708897639
"Purus1",-0.73160153047049,595,-1.38363854229855,-1.85921649108663,0.573073787770795,0,0.0531432743650502,0.643241503258623
"Purus2",0.73663898197526,256,-0.745564756976647,-0.459193899065402,0.407230413789521,0,0.0503812335629151,0.476487014393641
"Purus3",-1.25387899194485,405,-3.45062933075236,-1.51140430160883,0.501189501042877,0,0.0490302021383944,0.607735456997033
"Putumayo",-1.11279517944249,671,-3.62201154633471,-1.01681321088124,0.603345255071072,0,0.066952975136879,0.640777919502391
"Roosevelt",0.727128590902548,151,-2.06208444617883,0.47373839438882,0.469197207821918,0,0.0847985242155472,0.618947854106671
"Santiago",-2.45894127847245,205,-3.31286258442542,-2.29514878782089,0.410063500505978,0,0.0658304300373511,0.502935653505272
"Solimoes1",-0.575798756929641,573,0.272957313417242,-0.993715233450661,0.596002538397624,0,0.0498567863920438,0.641604752973988
"Solimoes2",-1.21770707142042,292,-0.251641292327881,-1.9879039570765,0.515497611389672,0,0.0454755033213604,0.585320748748788
"Solimoes3",0.567262324295259,332,-0.462339785034204,-0.355343237269388,0.481886238229546,0,0.0415123393461838,0.589005956263383
"Solimoes4",-0.986468934445142,400,0.683684210920161,-1.28455747171159,0.524596448899887,0,0.0431334767986515,0.613145366249051
"Solimoes7",-0.21700863247052,324,-2.12191815365732,-0.203056694779346,0.514267127962847,0,0.056764344118483,0.533578701162334
"Solimoes8",-1.39955452461255,690,-3.37256264873949,-1.45643709447976,0.567317191622438,0,0.0614066036249829,0.566601907147461
"Solimoes9",-0.877729321907467,644,-2.79788061091151,-0.802541121419209,0.52656724458388,0,0.0612876171656397,0.561109088918745
"Tapajos1",-0.341708096307501,646,-1.38440725343211,-1.17035553419322,0.508440318300175,0,0.0534069219955626,0.589657944456768
"Tapajos2",-0.415046023848216,355,-3.20238607075556,-0.104392136932223,0.50652918335161,0,0.0529344603429312,0.536181403995504
"Tapaua",1.1014676797029,108,-1.3020647362931,0.785310892115879,0.395632916397328,0,0.0840780357052266,0.503409910692712
"Tefe",-0.43127754340137,507,-1.75134865680803,-0.451569253357523,0.543719362128786,0,0.0520534712903537,0.589504623937142
"Teles_Pires",-2.16587801334287,431,-4.74571911056867,-2.07836011824455,0.499474861677423,0,0.0753154954078022,0.574542136390886
"Tigre",-2.30165628214195,270,-5.09907650367093,-1.29852611032901,0.446900789015812,0,0.113033243883939,0.514071320183659
"Trombetas1",-1.00248030247546,458,0.744941478393652,-1.39863414051604,0.494227790178901,0,0.0446637539978239,0.56710767852624
"Uatuma1",-0.29822716618431,361,-0.883488967862551,-1.19418730958562,0.496005884907378,0,0.0447641582863784,0.634395583464751
"Uaupes",-1.3730375918207,307,-2.28136398331314,-1.87669048691557,0.476243544569184,0,0.0529994711355422,0.584177101958332
"Ucayali1",-1.49819971010118,576,-4.05423346584912,-1.22668669367844,0.565355190466856,0,0.0624412751122094,0.647172674033177
"Ucayali2",-3.80689893809573,133,-3.31990102147072,-2.1025864536372,0.396252175269202,0,0.147257862845408,0.448244105810951
"Unini",0.818546558633819,258,-0.300779331291076,0.203200655924698,0.46286424516936,0,0.0462182692329012,0.583301389185127
"Urubamba",-4.23892395926062,233,-5.53307899373385,-3.52197763359015,0.439170361008083,0,0.097118618028268,0.518133797172694
"Xingu1",-0.783089225024125,609,-2.31201047165048,-0.914633639649171,0.572542974335619,0,0.0567263520261768,0.647473048893781
"Xingu3",-1.7555645686717,220,-2.97515276416317,-1.68809802859132,0.460108408695801,0,0.0540712974948589,0.537091885543378
"Xingu4",0.376547558839834,147,-1.67981191560766,0.613016287029508,0.441911690102809,0,0.0756261847826197,0.5603786450149
"Xingu6",-1.73738751433262,243,-3.67787260695729,-1.66682972290527,0.51436766776052,0,0.0752074850795731,0.543693942335568
"Yacuma",-0.411215323106905,228,-1.8880562098465,-0.102561761065844,0.463527353121299,0,0.0632335861607442,0.516790734724393
