"","SR","pd_z","mpd_z","mntd_z"
"Japura1",556,14545.7978132612,239.029457694866,29.2503152927234
"Jari",216,8467.18274449086,246.50058988523,49.582112951385
"Jatapu",165,6805.14686451431,237.888006196957,52.3431288008318
"Javary1",533,14537.1250360028,234.834336466667,32.0278615113249
"Jiparana",573,15053.2314633974,231.499410099486,30.4376281389955
"Jurua1",546,14672.1982928575,239.400852592943,31.1969481763067
"Juruena1",228,7931.39649130539,230.405266518851,41.0074744030061
"Jutai",314,10105.5598471816,246.905193807498,39.4824214669883
"Luna",508,14237.5520464152,245.429896443815,32.0091227777308
"Madera1",471,13611.6591822209,249.265764145399,34.3317847764166
"Madera2",353,11253.7355523385,245.659236414149,38.0068148067496
"Madera3",455,13060.9446493689,237.698642222505,34.363850248277
"Madera4",647,16521.2665675065,237.059246878048,29.2479947666024
"Madera6",344,10701.6488214069,232.164986369626,37.8048265687144
"Madre_Dios",581,15222.8701894454,232.263927080113,31.032715649452
"Mamore1",502,13924.6524522774,239.011131013622,32.9770212577751
"Mamore2",397,11695.1306417757,232.898478524781,35.5180359919837
"Mantaro",7,513.435224283146,183.055049583971,103.974351098417
"Maranon1",255,9057.06066748049,233.06484424474,47.7014931692651
"Maranon3",288,9703.31894039239,228.214897733376,44.2953117335738
"Maranon5",227,7593.41210497514,225.149693588235,42.0835999961809
"Marmelos",209,8227.92975213096,245.287135323903,50.3589714201228
"Maues",191,7951.11546852386,249.261413003405,54.2307202812906
"Napo1",266,9131.88865055557,225.708892824033,42.7818028579665
"Napo2",500,13928.7792512052,226.590130080403,33.2320428428201
"Negro1",788,17809.7317417206,246.338287188348,24.2263880484572
"Negro2",407,11966.6232913859,247.417866182265,33.387143224052
"Negro3",613,15188.7217104467,242.527938264765,27.0048176659486
"Negro5",499,13178.2012522888,231.476696145446,30.5220170580001
"Nhamunda",229,7898.2161572507,248.343427431896,42.8802098350344
"Orthon",378,11661.4269111128,229.312505942077,39.0813570632266
"Pachitea",226,7811.52852121475,223.412193870277,44.9968277016886
"Paru_Este",21,1623.88703441254,227.555691458967,102.444514615635
"Pastaza",334,10554.4027798089,221.813549118982,40.9419323331463
"Purus1",614,15709.2345543926,242.723657825241,28.3665130679669
"Purus2",259,9450.04624007122,239.305528389978,46.0586298861055
"Purus3",417,12311.414287105,234.78295410476,34.7386683236134
"Putumayo",690,16662.8759738609,237.265693647724,27.4349754247804
"Roosevelt",151,6437.86946285653,228.019410959505,57.0813382704041
"Santiago",205,7090.55938830848,223.617025670413,42.8144872202652
"Solimoes1",596,15438.0145996135,248.129692243068,29.5321579745233
"Solimoes2",301,9987.49093656717,245.001312811047,39.343864337085
"Solimoes3",343,11323.8315313057,244.616448141191,39.7801522504916
"Solimoes4",414,12307.5050921971,248.782294235887,35.0061645686999
"Solimoes7",327,10645.9462561471,234.060341270573,41.798104496804
"Solimoes8",698,16597.389011496,234.737124265599,26.9513272230083
"Solimoes9",657,16272.2174934308,237.375519836675,28.692219225959
"Tapajos1",670,16565.6084439411,243.776231975223,27.6206753178747
"Tapajos2",363,11475.0174930884,233.266126109158,40.065552054208
"Tapaua",108,5231.3650287093,231.019735922619,66.286780550155
"Tefe",524,14329.5872514807,241.616252133005,32.3235013667463
"Teles_Pires",441,12375.9942251421,229.893166556209,33.2239781279563
"Tigre",276,9069.25026105847,223.450466589351,41.7510611072464
"Trombetas1",482,13550.7597923069,251.463012429402,32.5258337944453
"Uatuma1",375,11822.7055810333,244.225617529594,37.190315235025
"Uaupes",310,9835.89374366489,233.264050819919,38.2197198856176
"Ucayali1",587,14988.5940942647,233.43508332874,29.5680245991647
"Ucayali2",133,4954.75695290231,219.097355536495,50.2305608499537
"Unini",267,9687.25189243003,245.381713960563,45.5290584185189
"Urubamba",237,7596.6575204454,218.417151257558,38.3541242314299
"Xingu1",632,15926.0559411435,241.579094131623,28.7221413441476
"Xingu3",224,8028.07532418373,229.853740540186,44.8736121165949
"Xingu4",147,6248.23887208299,230.154795571362,58.1787045090786
"Xingu6",246,8473.21630428096,226.210381005209,42.89235963374
"Yacuma",230,8414.60558642028,233.188100679934,48.7558488403076
