"","SR","pd_z","pd_p","mpd_z","mpd_p","mntd_z","mntd_p"
"Tigre",276,-2.00346425831676,0.96792,-4.59973282152269,0.99999,-1.31548543829339,0.87983
"Trombetas1",482,-0.199813843253173,0.57425,2.62162290081952,0.00381,-1.23250489399629,0.85887
"Uatuma1",375,0.566693894289053,0.303995,0.234217229149171,0.413965,-0.904797284502805,0.778535
"Uaupes",310,-1.86974536632123,0.955405,-2.49863450651014,0.99208,-2.06725487268111,0.96398
"Ucayali1",587,-1.12574594690226,0.83885,-3.68273061946396,0.999805,-1.14476892808583,0.836165
"Ucayali2",133,-4.26013322207637,0.99998,-3.73609311808524,0.99975,-2.53949812183017,0.99108
"Unini",267,1.04519191678223,0.170015,0.453316075739508,0.330855,0.0865931995321091,0.47344
"Urubamba",237,-4.23464074064342,0.999895,-5.28040241545076,1,-3.74055927373938,0.999615
"Xingu1",632,-0.231146501696756,0.58397,-0.702622937757234,0.762605,-0.891444687278292,0.776695
"Xingu3",224,-1.41166947304287,0.90189,-2.77149209662822,0.99595,-1.54166655764413,0.916325
"Xingu4",147,-0.434195465313002,0.65455,-2.14797451797932,0.980055,0.0325099479615712,0.48693
"Xingu6",246,-1.69841750083968,0.93725,-3.70959564770854,0.999755,-1.68316516494293,0.932525
"Yacuma",230,-0.484429978595701,0.671265,-2.11963441924779,0.979605,0.142659279972312,0.44978
