"","PD","SR","mpd.result","mntd.result","PD_sd","SR_sd","mpd.result_sd","mntd.result_sd"
"Iriri",-2.54051084931402,333,-3.93509580906625,-1.78237070845546,0.517632327730227,0,0.0594037760588864,0.629151320026254
"Isiboro",-0.850073715117403,206,-4.00991195804948,-0.747460139348112,0.414351137487417,0,0.0485333373687682,0.513234665052753
"Itonamas",-0.376655622792156,349,-1.13869639398597,-0.996360845261572,0.448472131890966,0,0.0479097508838868,0.539562416427568
"Jamanxim",-1.30486871460782,308,-4.65950745088749,-0.522323883842332,0.459286862970349,0,0.0692315600194538,0.535230481863211
"Japura1",-0.978840729803835,556,-1.55190346911859,-2.1144377776037,0.561125575254303,0,0.0514374398080783,0.583039192114697
"Jari",1.0420931647845,216,0.626495431524345,-0.043448925112156,0.377647111810569,0,0.0342139432152132,0.449386358962265
"Jatapu",-0.230764116785314,165,-0.949837944722325,-0.936305675363703,0.443854736574264,0,0.0473564578507969,0.571624876206045
"Javary1",0.278170324735163,533,-2.96231137597789,-0.355937138990157,0.510304700563995,0,0.0503319620587908,0.573357036990744
"Jiparana",-0.143605790760885,573,-4.32656554702366,-0.709789632368345,0.492024239820268,0,0.0574134111918756,0.554486623215465
"Jurua1",0.0185051405985392,546,-1.40194052461914,-0.71609275318057,0.574735672161874,0,0.0555706673893793,0.614784217630469
"Juruena1",-2.15144940912911,228,-2.68514154321416,-2.91120316052141,0.46260636789022,0,0.0520951260888824,0.529993780511998
"Jutai",-1.19266330774206,314,0.877419063691628,-1.32685016305177,0.419553200099534,0,0.0450629994514415,0.455436015430648
"Luna",0.667094511861018,508,0.688245059976523,-0.990099554319393,0.518421385376826,0,0.0443477306677481,0.577176689187205
"Madera1",0.675772882383214,471,1.88058002037359,-0.19257867214357,0.517953861623436,0,0.0419214384461335,0.631948494667725
"Madera2",0.0796413525924681,353,0.608357096508351,-1.03600080417585,0.530143407968511,0,0.0447208180570735,0.587277577434531
"Madera3",-0.275978556150528,455,-1.77518065273737,-0.590942688465957,0.540349780222792,0,0.054220454248874,0.608153564357256
"Madera4",1.07523410565059,647,-2.5083588814884,-0.0305649173053444,0.568477912445818,0,0.0514455593927381,0.696056288902041
"Madera6",-1.25737997532848,344,-2.94701144714532,-1.3910279673791,0.463591536064093,0,0.0499452522588842,0.544396788342059
"Madre_Dios",0.0140368208257799,581,-4.08717099645452,0.00585386767056339,0.558362606030295,0,0.0598722610104853,0.625788687681941
"Mamore1",-0.075418901289615,502,-1.45515897102693,-0.393059474279552,0.52751421120306,0,0.0459635467825338,0.587476875698788
"Mamore2",-1.3782772676678,397,-3.00567383865671,-1.33293854475792,0.505166058732645,0,0.0467593053629241,0.597701965308824
"Mantaro",-2.27973011548118,7,-1.88489813570837,-1.88241231607867,0.169336481651082,0,0.0988971247464103,0.284333151316945
"Maranon1",-0.282471221776388,255,-2.27480338438345,0.606940164868956,0.407948297012661,0,0.0638129775246267,0.49738315069343
"Maranon3",-0.631387899695503,288,-3.58771545259294,0.224573587211795,0.472607463181214,0,0.0572681113606353,0.511844358981617
"Maranon5",-3.35681678318368,227,-3.76340259554693,-2.52337551735576,0.486873104630416,0,0.0872802535368408,0.526878564791459
"Marmelos",0.799244150310102,209,0.375904044454102,-0.0124167771644979,0.394750870239839,0,0.0436208199816738,0.527896051165451
"Maues",1.54878198159482,191,1.10259987122272,0.639120864793992,0.408033797352267,0,0.0457935331424318,0.509168596218527
"Napo1",-0.941409514738636,266,-3.9926097014553,-1.14837948684146,0.363287659539602,0,0.0849159015983941,0.450691000304089
"Napo2",0.0562251222828289,500,-5.57771426645932,-0.249656478580828,0.518312411294613,0,0.0555810187037346,0.638963190322329
"Negro1",-1.26202961822117,788,1.36451405039623,-2.39336360566344,0.572512725191762,0,0.0527412496524203,0.680640741194643
"Negro2",-1.07771180613766,407,1.17599928391588,-2.42486356013277,0.486346081946147,0,0.0452486674243647,0.550463520686412
"Negro3",-1.81072842723561,613,-0.325190181963753,-2.91220252445216,0.413847078945899,0,0.0550462379860249,0.536336420703916
"Negro5",-2.50704038149042,499,-3.94915322969233,-2.34238061414848,0.474505000702083,0,0.0536727418935293,0.547016734701111
"Nhamunda",-2.36978840881986,229,1.02977518885783,-2.16326900164287,0.425460115648937,0,0.04063366540976,0.500506805775433
"Orthon",-0.215042403574998,378,-3.91399662702734,0.298212233949327,0.469833447876263,0,0.0561107192347794,0.536710937989353
"Pachitea",-2.42803445298173,226,-4.11176535247089,-1.43520039040665,0.431298250943777,0,0.113400270955482,0.534707070550113
"Paru_Este",-0.188916144036624,21,-0.916906950378932,-0.653264856557282,0.210564696462725,0,0.0413197442834033,0.258622401176601
"Pastaza",-1.060764113159,334,-5.56786215215407,0.0115151685203441,0.418165156368798,0,0.0610214476505896,0.53149030000041
"Purus1",-0.0496030906783009,614,-0.250800316664782,-1.6293923808907,0.573662257674512,0,0.049859773081035,0.639198983675674
"Purus2",0.845998799278902,259,-0.906561563235155,0.0481631762062782,0.387260339352296,0,0.0487104371973628,0.46203911849815
"Purus3",-0.510511320443391,417,-2.54184971030988,-1.3156613979719,0.511225828824156,0,0.0463592711041522,0.611242645645968
