"","PD","SR","mpd.result","mntd.result","PD_sd","SR_sd","mpd.result_sd","mntd.result_sd"
"Solimoes8",0.88745,690,0.999333333333333,0.902383333333333,0.106893292240093,0,0.000886360039130531,0.100449119125599
"Solimoes9",0.78235,644,0.9963,0.764833333333333,0.138481239131769,0,0.00235201754499972,0.155552940093452
"Tapajos1",0.620916666666667,646,0.9143,0.8483,0.176080339375816,0,0.0148773134559903,0.123955112073698
"Tapajos2",0.6447,355,0.998916666666667,0.544883333333333,0.171850099767569,0,0.00130558241966773,0.185635114952638
"Tapaua",0.156183333333333,108,0.900533333333333,0.240733333333333,0.0844166271966032,0,0.0177016678879622,0.142255228177678
"Tefe",0.6461,507,0.955516666666667,0.655366666666667,0.177198902870337,0,0.00986068785547769,0.186829471451691
"Teles_Pires",0.97195,431,1,0.9661,0.0377748476284919,0,0,0.0483842295591618
"Tigre",0.982716666666667,270,1,0.877466666666667,0.0173765567655982,0,0,0.0969256602449369
"Trombetas1",0.815466666666667,458,0.234933333333333,0.890016666666667,0.1297055025671,0,0.0219259543634359,0.100661809758633
"Uatuma1",0.603483333333333,361,0.812816666666667,0.847183333333333,0.167119266772564,0,0.0214887737245303,0.128731333298617
"Uaupes",0.8924,307,0.9863,0.948833333333333,0.0839871055251969,0,0.00519312763517722,0.0605550922046956
"Ucayali1",0.901533333333333,576,0.999933333333333,0.853466666666667,0.102584360729196,0,0.000328243975944895,0.145874559829283
"Ucayali2",0.999783333333333,133,0.998983333333333,0.974083333333333,0.000655418578396167,0,0.00145826719426741,0.0266681133866822
"Unini",0.231816666666667,258,0.624966666666667,0.43385,0.130762053541785,0,0.0252139887776322,0.19870635139647
"Urubamba",0.999966666666667,233,1,0.999466666666667,0.000234508823560488,0,0,0.00149597289567745
"Xingu1",0.751766666666667,609,0.98675,0.7861,0.16276697313057,0,0.0052404313956125,0.16639392161155
"Xingu3",0.946416666666667,220,0.997583333333333,0.934216666666667,0.048232144745558,0,0.00200133232839136,0.0708333650227697
"Xingu4",0.36585,147,0.949333333333333,0.29745,0.156907811940042,0,0.0111438910403701,0.17338714118849
"Xingu6",0.940633333333333,243,0.999783333333333,0.932083333333333,0.0549669730447426,0,0.000563329448316065,0.0636922203552543
"Yacuma",0.647483333333333,228,0.9665,0.539983333333333,0.155417957722046,0,0.00810460511178413,0.186576682104906
