"basin";"variable";"value"
"Teles_Pires";"Acaronia_nassa";1
"Trombetas1";"Acaronia_nassa";1
"Uatuma1";"Acaronia_nassa";1
"Ucayali1";"Acaronia_nassa";1
"Unini";"Acaronia_nassa";1
"Xingu1";"Acaronia_nassa";1
"Xingu3";"Acaronia_nassa";1
"Branco";"Acaronia_vultuosa";1
"Negro2";"Acaronia_vultuosa";1
"Negro3";"Acaronia_vultuosa";1
"Negro5";"Acaronia_vultuosa";1
"Amazon5";"Acestridium_dichromum";1
"Andira1";"Acestridium_dichromum";1
"Maues";"Acestridium_dichromum";1
"Negro3";"Acestridium_dichromum";1
"Negro5";"Acestridium_dichromum";1
"Tapajos1";"Acestridium_dichromum";1
"Tefe";"Acestridium_dichromum";1
"Amazon8";"Acestridium_discus";1
"Amazon9";"Acestridium_discus";1
"Branco";"Acestridium_discus";1
"Luna";"Acestridium_discus";1
"Negro1";"Acestridium_discus";1
"Negro2";"Acestridium_discus";1
"Negro3";"Acestridium_discus";1
"Negro5";"Acestridium_discus";1
"Unini";"Acestridium_discus";1
"Branco";"Acestridium_gymnogaster";1
"Demini";"Acestridium_gymnogaster";1
"Jiparana";"Acestridium_gymnogaster";1
"Luna";"Acestridium_gymnogaster";1
"Marmelos";"Acestridium_gymnogaster";1
"Negro2";"Acestridium_gymnogaster";1
"Negro3";"Acestridium_gymnogaster";1
"Amazon8";"Acestridium_martini";1
"Demini";"Acestridium_martini";1
"Negro1";"Acestridium_martini";1
"Negro2";"Acestridium_martini";1
"Negro3";"Acestridium_martini";1
"Negro5";"Acestridium_martini";1
"Jiparana";"Acestridium_scutatum";1
"Marmelos";"Acestridium_scutatum";1
"Amazon5";"Acestridium_triplax";1
"Andira1";"Acestridium_triplax";1
"Tapajos1";"Acestridium_triplax";1
"Teles_Pires";"Acestrocephalus_acutus";1
"Caqueta1";"Acestrocephalus_anomalus";1
"Huallaga";"Acestrocephalus_anomalus";1
"Napo2";"Acestrocephalus_anomalus";1
"Caqueta1";"Acestrocephalus_boehlkei";1
"Curaray";"Acestrocephalus_boehlkei";1
"Huallaga";"Acestrocephalus_boehlkei";1
"Javary1";"Acestrocephalus_boehlkei";1
"Madre_Dios";"Acestrocephalus_boehlkei";1
"Maranon5";"Acestrocephalus_boehlkei";1
"Napo1";"Acestrocephalus_boehlkei";1
"Napo2";"Acestrocephalus_boehlkei";1
"Pachitea";"Acestrocephalus_boehlkei";1
"Pastaza";"Acestrocephalus_boehlkei";1
"Putumayo";"Acestrocephalus_boehlkei";1
"Santiago";"Acestrocephalus_boehlkei";1
"Solimoes8";"Acestrocephalus_boehlkei";1
"Teles_Pires";"Acestrocephalus_boehlkei";1
"Tigre";"Acestrocephalus_boehlkei";1
"Uaupes";"Acestrocephalus_boehlkei";1
"Ucayali1";"Acestrocephalus_boehlkei";1
"Urubamba";"Acestrocephalus_boehlkei";1
"Arinos";"Acestrocephalus_nigrifasciatus";1
"Iriri";"Acestrocephalus_nigrifasciatus";1
"Jamanxim";"Acestrocephalus_nigrifasciatus";1
"Juruena1";"Acestrocephalus_nigrifasciatus";1
"Teles_Pires";"Acestrocephalus_nigrifasciatus";1
"Aripuana";"Acestrocephalus_pallidus";1
"Candeias";"Acestrocephalus_pallidus";1
"Guapore";"Acestrocephalus_pallidus";1
"Jiparana";"Acestrocephalus_pallidus";1
"Madera4";"Acestrocephalus_pallidus";1
"Madera6";"Acestrocephalus_pallidus";1
"Madre_Dios";"Acestrocephalus_pallidus";1
"Amazon5";"Acestrocephalus_sardina";1
"Arinos";"Acestrocephalus_sardina";1
"Aripuana";"Acestrocephalus_sardina";1
"Branco";"Acestrocephalus_sardina";1
"Candeias";"Acestrocephalus_sardina";1
"Caqueta1";"Acestrocephalus_sardina";1
"Curaray";"Acestrocephalus_sardina";1
"Guapore";"Acestrocephalus_sardina";1
"Huallaga";"Acestrocephalus_sardina";1
"Iriri";"Acestrocephalus_sardina";1
"Jamanxim";"Acestrocephalus_sardina";1
"Japura1";"Acestrocephalus_sardina";1
"Jiparana";"Acestrocephalus_sardina";1
"Juruena1";"Acestrocephalus_sardina";1
"Jutai";"Acestrocephalus_sardina";1
"Madera3";"Acestrocephalus_sardina";1
"Madera4";"Acestrocephalus_sardina";1
"Madre_Dios";"Acestrocephalus_sardina";1
"Maranon3";"Acestrocephalus_sardina";1
"Napo2";"Acestrocephalus_sardina";1
"Negro1";"Acestrocephalus_sardina";1
"Negro3";"Acestrocephalus_sardina";1
"Negro5";"Acestrocephalus_sardina";1
"Orthon";"Acestrocephalus_sardina";1
"Pastaza";"Acestrocephalus_sardina";1
"Tapajos1";"Acestrocephalus_sardina";1
"Teles_Pires";"Acestrocephalus_sardina";1
"Trombetas1";"Acestrocephalus_sardina";1
"Uaupes";"Acestrocephalus_sardina";1
"Xingu1";"Acestrocephalus_sardina";1
"Bacaja";"Acestrocephalus_stigmatus";1
"Iriri";"Acestrocephalus_stigmatus";1
"Tapajos2";"Acestrocephalus_stigmatus";1
"Teles_Pires";"Acestrocephalus_stigmatus";1
"Xingu1";"Acestrocephalus_stigmatus";1
"Xingu6";"Acestrocephalus_stigmatus";1
"Abuna";"Acestrorhynchus_abbreviatus";1
"Amazon2";"Acestrorhynchus_abbreviatus";1
"Amazon5";"Acestrorhynchus_abbreviatus";1
"Arinos";"Acestrorhynchus_abbreviatus";1
"Caqueta1";"Acestrorhynchus_abbreviatus";1
"Curaray";"Acestrorhynchus_abbreviatus";1
"Guapore";"Acestrorhynchus_abbreviatus";1
"Japura1";"Acestrorhynchus_abbreviatus";1
"Javary1";"Acestrorhynchus_abbreviatus";1
"Madera3";"Acestrorhynchus_abbreviatus";1
"Madera4";"Acestrorhynchus_abbreviatus";1
"Madera6";"Acestrorhynchus_abbreviatus";1
"Madre_Dios";"Acestrorhynchus_abbreviatus";1
"Mamore1";"Acestrorhynchus_abbreviatus";1
"Mamore2";"Acestrorhynchus_abbreviatus";1
"Maranon1";"Acestrorhynchus_abbreviatus";1
"Napo2";"Acestrorhynchus_abbreviatus";1
"Purus3";"Acestrorhynchus_abbreviatus";1
"Putumayo";"Acestrorhynchus_abbreviatus";1
"Solimoes7";"Acestrorhynchus_abbreviatus";1
"Solimoes8";"Acestrorhynchus_abbreviatus";1
"Solimoes9";"Acestrorhynchus_abbreviatus";1
"Tapajos1";"Acestrorhynchus_abbreviatus";1
"Tefe";"Acestrorhynchus_abbreviatus";1
"Ucayali1";"Acestrorhynchus_abbreviatus";1
"Amazon2";"Acestrorhynchus_altus";1
"Amazon5";"Acestrorhynchus_altus";1
"Amazon8";"Acestrorhynchus_altus";1
"Beni";"Acestrorhynchus_altus";1
"Blanco_Baures";"Acestrorhynchus_altus";1
"Chapare";"Acestrorhynchus_altus";1
"Guapore";"Acestrorhynchus_altus";1
"Huallaga";"Acestrorhynchus_altus";1
"Isiboro";"Acestrorhynchus_altus";1
"Itonamas";"Acestrorhynchus_altus";1
"Javary1";"Acestrorhynchus_altus";1
"Madera4";"Acestrorhynchus_altus";1
"Madre_Dios";"Acestrorhynchus_altus";1
"Mamore1";"Acestrorhynchus_altus";1
"Mamore2";"Acestrorhynchus_altus";1
"Maues";"Acestrorhynchus_altus";1
"Orthon";"Acestrorhynchus_altus";1
"Solimoes1";"Acestrorhynchus_altus";1
"Tigre";"Acestrorhynchus_altus";1
"Uatuma1";"Acestrorhynchus_altus";1
"Yacuma";"Acestrorhynchus_altus";1
"Abuna";"Acestrorhynchus_falcatus";1
"Amazon1";"Acestrorhynchus_falcatus";1
"Amazon2";"Acestrorhynchus_falcatus";1
"Amazon5";"Acestrorhynchus_falcatus";1
"Amazon8";"Acestrorhynchus_falcatus";1
"Amazon9";"Acestrorhynchus_falcatus";1
"Andira1";"Acestrorhynchus_falcatus";1
"Apaporis";"Acestrorhynchus_falcatus";1
"Arinos";"Acestrorhynchus_falcatus";1
"Aripuana";"Acestrorhynchus_falcatus";1
"Bacaja";"Acestrorhynchus_falcatus";1
"Beni";"Acestrorhynchus_falcatus";1
"Blanco_Baures";"Acestrorhynchus_falcatus";1
"Branco";"Acestrorhynchus_falcatus";1
"Candeias";"Acestrorhynchus_falcatus";1
"Canuma";"Acestrorhynchus_falcatus";1
"Caqueta1";"Acestrorhynchus_falcatus";1
"Curaray";"Acestrorhynchus_falcatus";1
"Curua_Una";"Acestrorhynchus_falcatus";1
"Fresco";"Acestrorhynchus_falcatus";1
"Guapore";"Acestrorhynchus_falcatus";1
"Iriri";"Acestrorhynchus_falcatus";1
"Itonamas";"Acestrorhynchus_falcatus";1
"Jamanxim";"Acestrorhynchus_falcatus";1
"Japura1";"Acestrorhynchus_falcatus";1
"Jari";"Acestrorhynchus_falcatus";1
"Jatapu";"Acestrorhynchus_falcatus";1
"Javary1";"Acestrorhynchus_falcatus";1
"Jiparana";"Acestrorhynchus_falcatus";1
"Jurua1";"Acestrorhynchus_falcatus";1
"Juruena1";"Acestrorhynchus_falcatus";1
"Jutai";"Acestrorhynchus_falcatus";1
"Luna";"Acestrorhynchus_falcatus";1
"Madera1";"Acestrorhynchus_falcatus";1
"Madera3";"Acestrorhynchus_falcatus";1
"Madera4";"Acestrorhynchus_falcatus";1
"Madera6";"Acestrorhynchus_falcatus";1
"Madre_Dios";"Acestrorhynchus_falcatus";1
"Mamore1";"Acestrorhynchus_falcatus";1
"Mamore2";"Acestrorhynchus_falcatus";1
"Maues";"Acestrorhynchus_falcatus";1
"Napo1";"Acestrorhynchus_falcatus";1
"Napo2";"Acestrorhynchus_falcatus";1
"Negro1";"Acestrorhynchus_falcatus";1
"Negro3";"Acestrorhynchus_falcatus";1
"Negro5";"Acestrorhynchus_falcatus";1
"Nhamunda";"Acestrorhynchus_falcatus";1
"Orthon";"Acestrorhynchus_falcatus";1
"Pachitea";"Acestrorhynchus_falcatus";1
"Pastaza";"Acestrorhynchus_falcatus";1
"Purus1";"Acestrorhynchus_falcatus";1
