"","tempMin","tempMax","tempMean","precMin","precMax","precAnn"
"Marmelos",4.30635893926666,5.2481239044,4.03970272403333,-11.3757198353667,7.30330594699996,-276.932483816667
"Maues",4.54756357693334,3.70741250096667,3.7088517281,-8.31083300303333,-31.5203976503333,-250.255808973333
"Napo1",4.15787713293333,2.4821033165,3.43551767636666,64.9617412759,-130.359101163,54.1383170833333
"Napo2",3.94592765303334,3.44479563956667,3.6544589526,40.3730023557,-126.350791967,-83.6227477033335
"Negro1",4.24463005113333,2.68506386789999,3.4163447592,18.9418277245,-25.3346385456667,8.19055571000035
"Negro2",4.31219581013333,1.79787653383334,3.27875086426667,51.7539370421667,-46.1102800506666,141.32459471
"Negro3",4.10223707183333,1.5657196899,3.3456309288,65.4106699358,-99.234726275,138.02169615
"Negro5",4.14731486633333,0.836355448999999,3.17597839099999,91.8072089623333,-124.515809376,168.04021959
"Nhamunda",5.10186356823333,4.23055621296666,3.8368393039,-30.8212535550333,-17.03725846,-264.70652968
"Orthon",3.55671036093333,5.0100548348,3.9530835204,-24.5276079116,-13.3243315166667,-203.603748863333
"Pachitea",3.6902991764,3.98967281533334,3.70655973473334,-20.8559076983667,-16.8003430046667,-312.415493413333
"Paru_Este",4.92608817416667,4.7693464849,4.10441748323334,-15.2088823785,-91.7090336783334,-545.947716743333
"Pastaza",4.1682096142,3.42127104476667,3.63583968343334,17.316620267,-109.119567442,-151.09499914
"Purus1",4.46913569446667,4.3845555602,3.81442496946666,-37.4308846652,-0.513793493333367,-223.91496562
"Purus2",4.4190280376,4.2805884634,3.81618610453333,-23.5028669425667,24.6987894206666,-104.06566348
"Purus3",4.06070111323333,3.98258084033333,3.840384906,-27.2456948992667,14.1982412356666,-91.5368890966665
"Putumayo",3.8993009151,2.89389105396666,3.54347415103333,36.3226666440667,-119.267496352667,-39.4439970433332
"Roosevelt",4.42959986429667,4.95128922853333,4.11602204013333,-1.55767922939333,19.9221785203333,-131.214334623333
"Santiago",4.12457650786,4.0602530527,3.7917357782,6.71083317933332,-164.644664977,-303.112704476667
"Solimoes1",4.3976279259,3.28005833996667,3.49733772556667,-40.6682496495667,-27.3323154843333,-190.710511366666
"Solimoes2",4.3686304673,3.50674591326667,3.55076425376667,-32.1435547696667,-59.7560429926666,-181.029219696667
"Solimoes3",4.2577978747,3.31050096006667,3.53400291853333,-14.2721194476667,-90.1375373856667,-104.019782103333
"Solimoes4",4.07873008736667,3.15405884776667,3.54770848986667,2.86733882133331,-166.374882888667,-116.923610693333
"Solimoes7",4.0891265646,3.03575889136667,3.52507345273333,-23.863747317,-62.4415179606667,-24.4970529433331
"Solimoes8",3.9285604103,2.96647565063333,3.53303448413333,-6.79775967099999,-87.3825250983334,-94.0591105466665
"Solimoes9",4.28386760033333,2.8914963864,3.51501163323333,24.4164265276667,-109.349315215333,-31.3439216400002
"Tapajos1",4.7663231229,4.337609297,3.96320125996667,-12.0080950369333,-43.4324797130001,-350.31507457
"Tapajos2",4.2478300214,3.85122512599999,3.760350682,-0.747002243933331,-99.5662007576666,-410.865815813333
"Tapaua",4.416604287,3.54292525633334,3.58973549823333,-48.8600763289667,23.3761342716666,-43.9631474533335
"Tefe",4.37062662473334,3.38894021633334,3.59125680746666,-33.8651330761333,-39.3715454743333,-71.1190496366667
"Teles_Pires",3.9995619709,4.6540780359,4.0821640486,-0.0993298192666661,-34.0958975866666,-301.05683481
"Tigre",4.34964584556667,2.61429354383333,3.3729953159,45.8887506463333,-77.9959579750001,111.14910282
"Trombetas1",5.1332677523,5.085522207,4.01160546146666,10.1455008283333,-44.1465914846667,-291.549522226667
"Uatuma1",4.42839245333333,3.20826281496666,3.5422747988,-1.97162410446667,6.67111018133335,-50.236672266667
"Uaupes",3.79832557703334,2.22151398566667,3.37652870846667,63.1400140901333,-152.487789908667,103.69873828
"Ucayali1",3.8081754898,3.39350511656667,3.43983013026667,-20.9307167055667,-26.1272809986667,-132.12014981
"Ucayali2",3.48873321983333,3.85075398153333,3.70895556026667,-28.6128966885,-12.8831472986667,-261.530688966667
"Unini",4.2655016068,2.37894859976667,3.32499369206667,42.6677177943333,-75.526830282,17.9288397033329
"Urubamba",3.30993335412667,4.09428910256667,3.7219856041,-23.0203545477333,-5.02240173500002,-176.262906006667
"Xingu1",4.466930924,3.9137559449,4.12780905406667,-29.5823300470333,-103.184449429667,-381.02428688
"Xingu3",4.53881586716666,4.01228789789999,4.11172867233334,0.483744978166673,-19.0003663216666,-238.229209876666
"Xingu4",3.91093795656667,4.06686303706666,3.83324741793334,0.153750598516666,-55.1299805126667,-219.43702237
"Xingu6",3.7637797844,3.8913167584,3.72586196626667,-0.0418679064666665,-21.6820524956667,-136.789402596666
"Yacuma",3.50849110943333,4.49562808316666,3.83304183873334,-29.4641047772333,5.81889340033337,-279.814838553333
