"","tempMin.s","tempMax.s","tempMean.s","tempCV.s","precMin.s","precMax.s","precAnn.s","precCV.s","aetMin.s","aetMax.s","aetAnn.s","aetCV.s","petMin.s","petMax.s","petAnn.s","petCV.s","ro_mean.s","npp_mn.s","npp_sd.s","npp_cv.s","SolRad_mn.s","SolRad_cv.s","basin"
"Aripuana",-0.164677447467038,0.321542225899242,0.0560707210581348,-0.187969427839752,-0.527242548279732,0.347674438235778,-0.0411873779857381,0.509110779796929,-0.439246443831171,0.279806031912808,-0.135409452938189,0.487884974800487,0.498681974292981,0.357089210686466,0.425088822573825,-0.016552382812581,0.580933087640002,-0.159347836753253,0.23124930758736,0.24133973996293,-0.116320250353512,0.584256023752231,"Aripuana"
"Bacaja",0.086214413858989,-0.00504509331088871,0.0396629152140584,-0.333980132057821,-0.447227785431667,0.118934747668132,-0.289730566862663,0.564515559865067,-0.471273637953709,-0.0116209293542862,-0.38609419881031,0.520955219282019,0.509432497004201,0.0413762416180959,0.159592923909245,-0.429101616782602,-0.188731164987857,0.349869147270587,-0.388814661493811,-0.41162116909714,0.254850080909853,-0.250478452552347,"Bacaja"
"Beni",-0.706968909452482,-0.568428687033983,-0.663584598435984,0.831706590118797,-0.360985678525344,-0.57181196325072,-0.733196718208654,0.409324067466091,-0.455483653450993,-0.389692214228708,-0.666839765335992,0.444190991021793,-0.954506699265495,-0.136029603827607,-0.506092013934677,0.978430261380552,-0.516495545245508,0.205999716294053,1.54226718078027,1.25989593581148,-1.00312400152299,1.50088528843142,"Beni"
"Blanco_Baures",-0.330410712958613,0.257301759776898,-0.0146486299485528,1.01036353479075,-0.501419948510261,-0.829215732862539,-0.888588598927315,0.479803064989651,-0.689808093634679,-0.0402485431646174,-0.751062382078455,0.888928253183488,-0.225691967533495,0.937370635407911,0.606071627796077,1.0442856697755,-0.79020707139149,-1.12226993018858,-0.239305331684615,0.00929684340540153,-1.00461004486904,0.635614376253527,"Blanco_Baures"
"Branco",0.249805733891115,0.0441111379127387,0.172351913597448,-0.208885424317488,-0.135467666887781,0.0450311347003535,-0.393627771713256,0.374886240210474,-0.374860600496459,0.0465179489551753,-0.322777517366898,0.318077095388883,0.421362418217949,-0.162235699346328,0.145140953485018,-0.641657428166762,-0.218520237135179,0.062803867894483,0.760941748994986,0.653085296951038,0.287923440799801,-0.108398987940595,"Branco"
"Candeias",-0.0398311130251335,0.249477953091605,0.0896818248848607,-0.0937826355970202,-0.492074357219922,0.395605232041342,0.0294804366055475,0.423934052508829,-0.312526090414591,0.518540598091836,-0.0294676280488298,0.405462360559887,0.310517527503769,0.227792744493104,0.295054406921946,0.0841697296589071,0.0691542005805787,-0.433731551545934,-0.363134711748213,-0.329229367385691,-0.204907809671805,0.0297212116295617,"Candeias"
"Canuma",0.177904713012785,0.298651373863121,0.253672068071664,-0.290600781135518,-0.213872857622787,0.069122492993048,0.0521417726720788,0.0402474479551037,0.0733172508814059,-0.112019475070269,0.0627665380076595,-0.175051735273694,0.41377810010625,-0.0115707727992566,0.0770263416667885,-0.178060665251749,0.584262178490555,0.391117007942447,-0.375679222218175,-0.403013847628331,0.179660862952033,0.0663421382946547,"Canuma"
"Caqueta1",0.205943341807997,-0.116386301723582,0.0644768996953966,-0.0298708682235642,0.457791096216087,0.282016160677598,0.655333331111603,-0.544723999919152,0.531147328368612,-0.175854302386467,0.386889132102267,-0.566990878484331,-0.324662864762009,-0.526929995788285,-0.379314014554217,-0.3408250754069,0.782715912017027,0.582834396978544,0.120870660850963,-0.0388121026254617,0.367490481141992,-0.345412930946247,"Caqueta1"
"Chapare",-0.505134523653088,-0.0727761366114682,-0.206068739370864,1.79086671589907,0.103890945758231,1.04918954292031,0.41475766421993,0.183098269731972,0.0187430544302617,0.438367148093057,0.205910998531403,0.0489123255815839,-1.10039462313258,0.429374167910337,-0.0956994938598624,1.59697709872351,-0.500854359861375,0.70625670233675,0.683148351674852,0.346644599395872,-1.4953217565724,0.186320198588493,"Chapare"
"Coari",0.345033021131902,0.0740022174543318,0.24505827783615,-0.429394846933854,0.102065350296971,0.104758351168267,0.312251416623944,-0.238136338013377,0.488368956919777,-0.0317589741553126,0.28690942532702,-0.417596413557735,-0.133623513711132,-0.275367371635121,-0.197249373656756,-0.245692715332868,0.483322483358927,0.38963985627063,-0.427160512807759,-0.44434966791413,0.263369546812242,-0.291402545506021,"Coari"
