"","tempMin","tempMax","tempMean","tempCV","precMin","precMax","precAnn","precCV","aetMin","aetMax","aetAnn","aetCV","petMin","petMax","petAnn","petCV","ro_mean","npp_mn","npp_sd","npp_cv","SolRad_mn","SolRad_cv"
"Candeias",17.6433971498,33.0746768389,25.4400662156,0.544965222398,19.1744350079,350.66633079,2233.79216928,62.6888441054,71.7763063193,157.905340435,1384.739628617,0.26072158567035,125.166690658,165.018050957,1748.941212035,0.10030531879525,1184.3969481899,1983.47421119,114.163956873,5.7557570564281,14.6053285024,0.15879205135981
"Canuma",19.6384774514,33.3540143888,26.4913770514,0.397809658438,48.6389233669,315.696513125,2256.49331127,49.1336827104,90.0632326576,139.858111525,1421.2712499428,0.145575615647466,127.343446881,159.413368271,1701.26042385,0.085305118664179,1724.6434517528,2830.07445638,106.449118277,3.76135398264967,14.7153142378,0.170832154701973
"Caqueta1",19.8953911482,30.9963259141,25.2784821454,0.592750309214,119.775257203,338.49971786,2860.74440993,28.4673829405,111.761948189,138.031098065,1549.648015049,0.0678338120309273,111.776944342,147.346262361,1601.462868706,0.0759946086168035,1932.7822114973,3026.84753272,411.82589738,13.6057694656963,14.7690330666,0.035456727677471
"Chapare",13.3798926742,31.2440604927,23.5440645581,1.95406618424,82.2934791446,420.672249776,2619.74615822,54.1804211725,87.4767054232,155.610700057,1477.9671518013,0.189999272579369,95.4243434426,169.738068136,1663.4868281976,0.186841485983111,586.5705797668,3153.52454849,757.62509307,24.0247089065082,14.2362731502,0.210278132078264
"Coari",21.1698487532,32.0778586129,26.4361556502,0.294037117695,82.1001292299,319.513497344,2517.05985258,39.2987364189,109.734480448,142.155243383,1510.048580866,0.0974664612697391,115.804097066,153.236586417,1641.278777582,0.0814364050970999,1618.77765331025,2828.55835145,74.7882696083,2.64404195762698,14.7392547244,0.0532140779541978
"Curaray",19.6191319724,30.8010834271,25.1875807748,0.504303713229,183.207619354,326.269281466,3020.9590741,18.225397846,115.772255264,151.58601511,1654.665069923,0.0814359662755968,115.772255264,151.58601511,1657.757498793,0.0820253164399928,950.37578630415,2772.4119508,623.244903709,22.4802415647198,14.7719718223,0.00936773134667774
"Curua",20.7812202129,32.4493290519,25.7413993578,0.649141625824,68.4014534392,318.343856684,2023.98198411,51.1149569038,79.6880175765,136.046408653,1341.7222917026,0.168996520441205,120.595267872,162.602737874,1649.850735169,0.0971840563363662,1127.3113531405,2385.82133624,125.922139705,5.27793669174953,14.7726506277,0.00549906572499426
"Curua_Una",19.6185865453,31.578894128,25.3871593837,0.516074181699,41.6401940896,324.253714568,1831.07004222,64.4052031361,63.1512144306,136.893634519,1210.5153243048,0.246009006830278,121.805033171,157.267832666,1649.620099787,0.0862143826074366,977.80501482705,2533.65504846,115.898943648,4.57437738884168,14.7585311095,0.0334765225102905
"Demini",20.963733748,32.0874238694,26.452215887,0.358521986091,81.2029070019,321.501187854,2121.52645674,43.6078139173,91.1466027385,147.63627921,1483.7260809475,0.148039026337679,127.966610514,156.452421062,1736.743509999,0.0599184346774241,1668.0825366985,2830.13120494,349.206800399,12.3388908538749,14.7664724707,0.0309464839993934
"Fresco",16.5378332366,33.2694312246,24.8693422325,0.310732927065,11.6575159605,300.516037918,1963.06231379,64.4349003676,59.0142774231,152.944631457,1357.780808667,0.321273662706032,137.529734958,175.389572451,1866.463242407,0.0804263499401585,818.186896699,2468.24642448,256.05875357,10.3741162564003,14.6712000532,0.146518483005154
"Grande",8.70875354677,28.4191842237,19.6226874297,2.12045107502,21.8502126202,190.52160087,1018.53627203,75.6569032671,45.4717710405,97.7757992806,800.3860452646,0.309115907370658,87.2898039128,163.705333006,1580.5171027061,0.203008569722351,259.47645144185,1948.88697663,890.426102603,45.6889554540878,14.1730815056,0.47987486718486
"Guapore",14.2259238316,32.697971441,24.1148998897,1.02410973983,12.3287253842,265.410482627,1558.86220073,67.9868733839,54.8654563023,152.796018644,1221.1375741837,0.358806674665295,119.470834317,178.536999929,1817.777286727,0.13320979428075,434.96798350815,1393.05755422,297.174654371,21.3325467760299,14.4255596582,0.515724393335482
"Huallaga",12.8636252788,27.7546816515,20.7253535105,0.527158493705,66.4043253053,191.293735113,1515.56482287,34.9759253658,85.325891338,118.164637604,1210.7509168586,0.115747033939669,115.669259707,151.925526485,1642.853472719,0.0871735251813752,313.08707236815,3193.86244015,1150.70979261,36.0287837742929,14.6797111538,0.277817632056356
"Iriri",17.0966678636,33.7051974865,25.2148162777,0.469236193896,14.5085038899,345.646433273,2144.02889886,65.7133093956,66.3729563136,147.126708558,1353.2225014962,0.271597838634293,133.806014363,173.723680431,1833.518270497,0.0910557941383775,943.0406367732,2474.35943698,156.419525855,6.32161696143519,14.6889425534,0.296509538122734
"Isiboro",12.2029947358,30.9623123416,22.8488243322,1.86669592513,76.498264769,435.987716904,2717.62300643,57.3339832326,90.1453304738,155.069409242,1484.4371612388,0.187709610932109,98.8145447456,170.391772275,1671.6326769346,0.176440697962784,528.20450980315,3335.28142233,992.881077999,29.7690345213922,14.2722418549,0.23739237422443
"Itonamas",14.251774589,33.3696996045,24.5196162521,1.95858203511,17.6943026182,177.554407871,1051.81393129,62.0706566862,47.3181315987,108.45443729,874.5851534664,0.332217425957049,102.778132252,184.382701925,1798.581459809,0.191379059849848,189.33828236393,1336.14889908,463.587015701,34.6957600324486,14.2262308294,0.913926427591106
"Jamanxim",17.5885084652,34.1611136097,25.7582178764,0.467250692742,26.3773448041,358.095837746,2343.0810254,61.2331239391,72.849308709,151.454873856,1401.6906672088,0.243465410397345,132.02691175,173.280578566,1812.426322737,0.0926584442148971,1208.07168661875,2339.74039525,63.7262261783,2.72364516626174,14.6966984524,0.169800250259097
"Japura1",20.6088134065,31.0185282308,25.7436859789,0.376730981453,189.741074599,350.192439018,3248.14153623,18.5133163976,115.321273457,147.728181595,1618.446488569,0.0719154080149319,115.321273457,148.21478325,1620.561255429,0.0727530591887038,1936.8271904006,2828.74839679,89.8734681344,3.1771460564109,14.7695844767,0.0155548843611294
"Jari",20.7264879947,32.2122828401,25.5651604376,0.597785578971,51.3091416404,355.040164476,2266.31153536,51.152977458,75.1688963947,138.05996035,1358.597386006,0.188098370100886,115.484690506,161.366840443,1621.377707614,0.104818972120858,1022.6054434528,2683.99073782,191.291453903,7.12712794450145,14.7666023871,0.0397773347955876
"Jatapu",21.7894573912,32.803486961,26.8516927116,0.481315733426,80.5836201986,362.844250724,2178.35652195,50.7999950469,90.3643973352,134.321776171,1400.0406399374,0.128331227890609,123.31352931,158.21471557,1668.709130985,0.075006764526584,877.24671228815,2180.86166822,79.5302908259,3.64673706658396,14.7712809134,0.0149714398074566
"Javary1",19.5379304703,31.6778796709,25.844505563,0.423521309253,102.426559043,276.394513354,2470.40571727,28.6615997133,118.308559541,152.088688565,1630.645845668,0.0949079531738584,119.327336616,159.273553152,1703.168089879,0.0858437720261767,1151.7674875521,2667.93571269,140.767255315,5.27626114247965,14.7256162817,0.106151644502144
"Jiparana",15.5078366558,32.8970238698,24.34529632,0.530239079839,9.28178230512,323.841591617,1961.17775829,69.0862931606,58.3854915056,156.87049842,1302.4850294007,0.319856763364969,123.969271764,169.233964089,1775.416793157,0.106960098893248,1024.36878061262,1974.7705758,303.177614984,15.3525487314484,14.571234438,0.352238582627216
"Jurua1",18.781227845,31.8752196426,25.663258429,0.497572075993,62.0330563308,293.919937001,2256.59712737,44.3041613196,96.9711480647,150.551448879,1491.3062747353,0.162741478783196,120.609897605,160.479848516,1716.315850168,0.086671519637628,1150.05117853265,2468.83631526,184.639009406,7.47878700036682,14.6777691451,0.301570430255588
