"","basin","WaterColor","Area_km","Chut_hydrofall","Chut_grand","NetworkDensity","Elevation_min","Elevation_max","Elevation_range","Elevation_mean","Elevation_std","Elevation_basinSup1000m","Elevation_basinSup1500m","NbEspeceEnveloppe","DistanceEmbouchure_km","X23ma_cd","X23Ma","X10Ma_cd","X10Ma","NbSites1km_0417","NbSites_0417","Diversity0417","Endem0417","PebasLake","PebasConec","ShannonDiv","SoilDiv","CSup15","CBelow15","Basin","codage","Codigo","Area_log","Chut_hydrofall_log","ElevRge_log","ElevMean_log","ShanDiv_log","CSup15_log","SamplingEff","ElevPro1000_asin","NetworkDensity.s.x","SamplingEff.s.x","DistanceEmbouchure_km.s.x","Area_log.s.x","Chut_hydrofall_log.s.x","codage.s.x","ElevRge_log.s.x","ElevMean_log.s.x","ElevPro1000_asin.s.x","CSup15_log.s.x","ShanDiv_log.s.x","SoilDiv.s.x","NetworkDensity.s.y","SamplingEff.s.y","DistanceEmbouchure_km.s.y","Area_log.s.y","Chut_hydrofall_log.s.y","codage.s.y","ElevRge_log.s.y","ElevMean_log.s.y","ElevPro1000_asin.s.y","CSup15_log.s.y","ShanDiv_log.s.y","SoilDiv.s.y"
"Curaray","Curaray","White",26585.53658,0,0,0.170058184,122,1100,978,253.7674426,97.06736428,0.082102535,0,532,4117.1398,"G","PebasSystem","J2","AtlantikNord4",55,62,595,3,1,"Pebas",0.104369408574237,0.738378164167726,6.549096018,93.450607483,"Napo",22,22,10.1881602230269,0,6.88653164253051,5.54035113923879,0.0992745011015194,2.02142782337717,-6.06098822425182,0.028657462250687,0.402105932180405,-0.101222276103398,0.609756602807924,-0.383182232273088,-0.347709094828028,0.726284817743479,0.184949118975412,0.106264767062388,-0.182318680824282,0.164907951291823,-0.652488192721176,-0.0972469368745193,0.402105932180405,-0.101222276103398,0.609756602807924,-0.383182232273088,-0.347709094828028,0.726284817743479,0.184949118975412,0.106264767062388,-0.182318680824282,0.164907951291823,-0.652488192721176,-0.0972469368745193
"Curua","Curua","Clear",25290.21118,0,0,0.132092162,0,604,606,308.8475585,145.0500547,0,0,543,695.9767388,"H","AffluentsNord","K2","AffluentsNord",19,27,58,0,0,"Other",0.183633778260949,0.448181365711675,38.97679874,61.023506472,"Curua",6,6,10.138212230174,0,6.4085287910595,5.7360804297579,0.168589179714724,3.68829925433059,-6.84233582396092,0,-0.185053336108912,-0.466906468875889,-0.636228760545005,-0.416894700307884,-0.347709094828028,-0.405436103077685,0.00734129825811528,0.199268440945975,-0.227059021018636,0.693767026067886,-0.520843477354822,-0.452005535691173,-0.185053336108912,-0.466906468875889,-0.636228760545005,-0.416894700307884,-0.347709094828028,-0.405436103077685,0.00734129825811528,0.199268440945975,-0.227059021018636,0.693767026067886,-0.520843477354822,-0.452005535691173
"Curua_Una","Curua_Una","White",31115.22453,0,1,0.121220888,1,456,455,170.7740325,72.67642641,0,0,655,505.1032443,"B","GroupAtlantik","C2","GroupAtlantik4",75,83,166,0,0,"Other",0.321871217677475,1.03270444686356,13.66038054,86.339893125,"Curua Una",5,5,10.3454846512024,0,6.12249280951439,5.14617984853335,0.279048321916951,2.68514865382966,-5.92661190531438,0,-0.353181808647138,-0.0383318343375677,-0.705744763186401,-0.276995888177366,-0.347709094828028,-0.476168660629008,-0.0989388780475717,-0.0810315649164011,-0.227059021018636,0.375490949946932,-0.31105584469524,0.262559856996436,-0.353181808647138,-0.0383318343375677,-0.705744763186401,-0.276995888177366,-0.347709094828028,-0.476168660629008,-0.0989388780475717,-0.0810315649164011,-0.227059021018636,0.375490949946932,-0.31105584469524,0.262559856996436
"Demini","Demini","Black",39591.81425,4,0,0.134150267,22,2039,2017,154.9701863,209.9802397,1.737115353,0.058281701,676,2196.111868,"E","PebasNordEst","H2","AtlantikNord1",50,61,196,0,1,"Pebas",0.546946274556492,1.23420841475266,8.586514564,91.314857442,"Negro",13,13,10.5864029224437,1.6094379124341,7.60986220091355,5.04966487552349,0.436282842194394,2.26035737799489,-6.47550380084304,0.132184271426492,-0.153223943346548,-0.295222736428378,-0.0898805214817851,-0.114387762118116,0.510507557952325,0.0896917997815743,0.453711457395121,-0.126892085081194,-0.0206915059808298,0.240714675700981,-0.012430876913219,0.508893605971828,-0.153223943346548,-0.295222736428378,-0.0898805214817851,-0.114387762118116,0.510507557952325,0.0896917997815743,0.453711457395121,-0.126892085081194,-0.0206915059808298,0.240714675700981,-0.012430876913219,0.508893605971828
"Fresco","Fresco","Clear",43784.42027,0,0,0.066572164,184,754,570,346.7573987,99.87266829,0,0,139,1115.108707,"I","GroupAtlantik2","L2","GroupAtlantik2",43,48,96,1,0,"Other",0.954143219017211,0,17.22609614,82.353302149,"Xingu",3,3,10.6870561704029,0,6.34738920965601,5.85150510649383,0.669951846235139,2.90285442094206,-6.81583232058165,0,-1.19834553943739,-0.454502370824653,-0.483581170135407,-0.0464517108252965,-0.347709094828028,-0.617633775731653,-0.015375862903631,0.254114187153891,-0.227059021018636,0.444563866088174,0.431360974139574,-0.99989646405952,-1.19834553943739,-0.454502370824653,-0.483581170135407,-0.0464517108252965,-0.347709094828028,-0.617633775731653,-0.015375862903631,0.254114187153891,-0.227059021018636,0.444563866088174,0.431360974139574,-0.99989646405952
"Grande","Grande","White",109318.0313,0,1,0.156753769,155,4987,4832,1591.230166,1287.289625,56.52609441,48.46150658,342,3919.437939,"A","PebasSudEst","I2","Izogog?",162,187,150,2,1,"Pebas",2.03953122633533,1.02016196151032,59.65547066,40.096700208,"Madera",12,12,11.6020257788611,0,8.48322267184508,7.3728909325873,1.11170330166442,4.10520983181688,-6.37090801442665,0.85084583976822,0.1963479895543,-0.24627009903969,0.537753713525227,0.571108313435234,-0.347709094828028,0.0189592422302515,0.778219249483444,0.977023215464558,1.10129071180769,0.82604294020221,1.27034985465041,0.247226970647361,0.1963479895543,-0.24627009903969,0.537753713525227,0.571108313435234,-0.347709094828028,0.0189592422302515,0.778219249483444,0.977023215464558,1.10129071180769,0.82604294020221,1.27034985465041,0.247226970647361
"Guapore","Guapore","Clear",151316.02,0,0,0.123053022,126,997,871,266.0516064,130.4198986,0,0,761,3239.432438,"A","PebasSudEst","A2","AcreSud",342,436,587,10,1,"Pebas",1.32682936753679,1.80956069100259,1.44982375,98.468864548,"Madera",12,12,11.927132385188,0,6.77078942390898,5.58744192212062,0.844506554402012,0.896016083193408,-5.84948353317521,0,-0.32484714511963,-0.00223442197453118,0.290096152020899,0.790539474683068,-0.347709094828028,0.0189592422302515,0.141943678419789,0.128640650623038,-0.227059021018636,-0.192158707001833,0.762881011918521,1.21224791047945,-0.32484714511963,-0.00223442197453118,0.290096152020899,0.790539474683068,-0.347709094828028,0.0189592422302515,0.141943678419789,0.128640650623038,-0.227059021018636,-0.192158707001833,0.762881011918521,1.21224791047945
"Huallaga","Huallaga","White",89691.1798,0,0,0.137184623,111,5171,5060,1430.440257,1192.370314,51.92865663,37.08498649,385,4352.070946,"J","PebasOuest3","M2","AcreNordOuest",115,163,218,9,1,"Pebas",0.778473607617186,0.585777826868044,75.757871415,24.17983591,"Maranon",23,23,11.4041388625295,0,8.52931937121408,7.26643638912307,0.575755472609554,4.34065594036157,-6.31037751241656,0.804689515606335,-0.106296449897555,-0.217940777014623,0.695318373490978,0.437544260901807,-0.347709094828028,0.797017375294802,0.795347043370012,0.926439761054058,1.0292309590264,0.900744449156232,0.252460125970299,-0.283797174945402,-0.106296449897555,-0.217940777014623,0.695318373490978,0.437544260901807,-0.347709094828028,0.797017375294802,0.795347043370012,0.926439761054058,1.0292309590264,0.900744449156232,0.252460125970299,-0.283797174945402
"Iriri","Iriri","Clear",141745.6351,9,0,0.078700012,48,692,644,280.4537747,72.3536829,0,0,592,690.100019,"B","GroupAtlantik","C2","GroupAtlantik4",110,184,266,11,0,"Other",0.15981242227182,0.0778091381665392,3.688952917,96.311237395,"Xingu",3,3,11.8617964830366,2.30258509299405,6.46925031679577,5.63996822343851,0.148258287104534,1.54520929889687,-6.64685367056157,0,-1.01078366219874,-0.375417439545176,-0.638369058076675,0.746440915622002,0.880121352053037,-0.617633775731653,0.0299031257105252,0.153599301344775,-0.227059021018636,0.0138150214047139,-0.559456576691944,-0.904776666122558,-1.01078366219874,-0.375417439545176,-0.638369058076675,0.746440915622002,0.880121352053037,-0.617633775731653,0.0299031257105252,0.153599301344775,-0.227059021018636,0.0138150214047139,-0.559456576691944,-0.904776666122558
"Isiboro","Isiboro","White",21045.35276,0,1,0.157896812,157,4519,4362,848.2880371,1066.191923,26.08511177,18.58604569,331,3919.437939,"A","PebasSudEst","I2","Izogog?",104,162,180,0,1,"Pebas",0.534469943099415,1.28453086027742,43.01670385,56.982904412,"Madera",12,12,9.95448255854012,0,8.38091517312361,6.74439839508686,0.428185007462823,3.78456919483045,-4.86683870800809,0.536040483997581,0.214025593268043,0.457660354443913,0.537753713525227,-0.540903300618448,-0.347709094828028,0.0189592422302515,0.740205643842724,0.67838566949005,0.609813183582201,0.724311212449664,-0.0278105507377231,0.570411583972865,0.214025593268043,0.457660354443913,0.537753713525227,-0.540903300618448,-0.347709094828028,0.0189592422302515,0.740205643842724,0.67838566949005,0.609813183582201,0.724311212449664,-0.0278105507377231,0.570411583972865
