"","tempMin","tempMax","tempMean","precMin","precMax","precAnn"
"Madera1",17.2179775281,28.9782771535667,23.2979026217333,104.528089887433,398.361048689333,2622.42696629333
"Madera2",15.6534427724333,28.293000456,22.5246010032,69.3871409028,390.537619699333,3017.05563155667
"Madera3",15.3944489570333,28.1694570268,22.3538274405333,57.5476495961,332.973037942333,2679.32149329667
"Madera4",14.1486160055,28.3853129066667,21.9405049497667,50.1430184812,278.767677117667,2098.73317983333
"Madera6",14.2852,28.6444,22.2412,36.3626666666667,241.7,1713.13066666667
"Madre_Dios",10.7863271403,25.4818899408333,18.8298927276,110.957687455433,354.141908904,2733.25046844
"Mamore1",13.7246290347667,28.7122074346,22.0425883432667,29.5696802815,239.347407067333,1686.60088726
"Mamore2",12.5838395963,28.8415830610333,21.7280826658667,67.5459181012333,290.310495478333,2066.82699491
"Mantaro",-6.33298933490667,11.9822655574,3.80980093659,23.1902790719,133.264255394667,860.902016086333
"Maranon1",16.1857138506667,29.3850541585,22.9977096268,107.850342202,248.807700585667,2048.83502510667
"Maranon3",15.6684108562667,27.7230995625333,21.7505812985333,131.794708296,357.641076241333,2587.58509292667
"Maranon5",3.67749432238333,18.8855853828667,11.858934837,57.0341342384667,216.201031565,1457.35778568
"Marmelos",14.6084904062333,28.0864340111,22.0783295061667,40.0290292944667,351.759672566,2668.86150950667
"Maues",16.0922869471667,29.4509283816333,23.0214705186,72.0191609440333,346.082743968333,2503.83523824333
"Napo1",16.3422477440667,29.083869589,22.7261867056333,140.7730653541,446.538242917,3038.98167837667
"Napo2",12.6491282043667,24.5034077360333,18.4973683006,126.4903768133,443.055271841,2956.21394916333
"Negro1",17.7133262474667,29.8998257565,23.6031385653,82.9992211475,355.730962164667,2297.1028068
"Negro2",17.2495478751667,30.4870798158667,23.4952172419333,68.3786901258333,370.186662311667,2273.58067825
"Negro3",16.9473450201667,29.9742401254,22.8491129411,107.5417949972,446.786875021,2750.45937359
"Negro5",16.2194288090667,31.5078951639,22.8562325905,73.3316425076667,527.625846556,3056.93187541
"Nhamunda",17.2929124174667,28.9625112900333,23.2758876973,96.0627410102333,396.761541614,2499.69452251
"Orthon",13.0090028550667,27.5248085123,21.2012481906,59.8779386242,282.116294576667,2086.44949952333
"Pachitea",10.5311508338,25.5719497041667,18.5444761949667,86.7416494589667,301.379268901667,2368.00490973333
"Paru_Este",15.7558658138333,27.6192244466,21.4834228229667,58.3733600683,439.552775524333,2574.69221530333
"Pastaza",11.6550016784,23.8930345753333,17.7374958039667,124.486404834,347.011245384,2437.4890903
"Purus1",16.2150528826333,28.1716985825,22.5793706005333,98.4206245017,330.590613533333,2631.48432874
"Purus2",15.1820041658,28.6074093224,22.4477095680667,55.6112320234667,306.825843447333,2395.30180037
"Purus3",13.7094249786667,28.2100682069667,21.6337764991,59.7845710609667,281.162143186333,2136.36513591667
"Putumayo",16.1979920921,27.9995916127333,21.9693961117667,132.651935810933,439.793446634667,2971.37618758333
"Roosevelt",10.6485095884033,27.9556036574667,20.0991683894667,8.56737434356333,319.990395362667,2153.23743847333
"Santiago",9.15116145174,21.4971265434,15.2263791881,116.371895976667,398.827601279,2353.15765527667
"Solimoes1",17.869592232,29.2316423877333,23.4907873712333,129.854578802667,335.898966668333,2581.02480150667
"Solimoes2",17.2970960617,28.6117062358333,22.9989409793333,138.973239226667,370.880961834667,2695.42358406667
"Solimoes3",17.4060007948,28.8169643109333,23.1018315561667,135.246146056667,390.798709367667,2651.76987993333
"Solimoes4",16.7076741812333,28.2436370846333,22.4230281188333,161.361162321667,497.600404335667,3137.14414288333
"Solimoes7",15.8448099415,28.1033138401333,22.0817495126667,146.425194932,359.514132553667,2678.02339181333
"Solimoes8",16.3641324777,28.3921815472667,22.4114559169667,164.770809981,402.078716763333,2917.69893157667
"Solimoes9",16.1073527981667,28.9517641685,22.6380201162667,150.900914032333,395.072007914333,2838.13488644
"Tapajos1",15.9870082036,28.4544617445,22.4554160388333,68.7098610413333,367.390256153,2417.00301356
"Tapajos2",13.9743022692,30.2479396118,22.4759364987,31.3179132691333,438.391514519667,2702.79873606333
